SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
PDSMFL,EQ,296.6,310.0,269.95,281.15,302.0,272.1,19927,20-MAR-2020
PDSMFL,EQ,302.0,303.15,259.75,272.1,280.0,303.5,15641,19-MAR-2020
PDSMFL,EQ,355.3,365.55,289.05,303.5,300.0,341.65,23033,18-MAR-2020
PDSMFL,EQ,354.0,355.2,336.1,341.65,343.0,346.95,1865,17-MAR-2020
PDSMFL,EQ,363.0,384.8,341.6,346.95,350.05,365.1,1658,16-MAR-2020
PDSMFL,EQ,384.0,399.3,306.75,365.1,382.05,381.65,42254,13-MAR-2020
PDSMFL,EQ,414.0,416.0,340.0,381.65,384.95,414.65,35416,12-MAR-2020
PDSMFL,EQ,414.0,415.35,410.0,414.65,415.35,411.15,7407,11-MAR-2020
PDSMFL,EQ,413.0,415.0,403.2,411.15,412.0,412.75,11221,09-MAR-2020
PDSMFL,EQ,415.65,415.75,408.7,412.75,412.75,413.85,2719,06-MAR-2020
PDSMFL,EQ,415.0,415.05,410.0,413.85,415.0,412.75,2017,05-MAR-2020
PDSMFL,EQ,416.0,416.0,410.2,412.75,416.0,413.0,2614,04-MAR-2020
PDSMFL,EQ,414.0,414.05,405.4,413.0,414.0,410.65,6818,03-MAR-2020
PDSMFL,EQ,406.0,411.5,406.0,410.65,410.0,403.15,5233,02-MAR-2020
PDSMFL,EQ,402.0,405.05,400.0,403.15,403.5,405.05,2934,28-FEB-2020
PDSMFL,EQ,416.8,416.8,401.5,405.05,405.1,404.65,1150,27-FEB-2020
PDSMFL,EQ,404.0,408.0,399.0,404.65,404.0,401.85,3180,26-FEB-2020
PDSMFL,EQ,399.45,404.0,397.0,401.85,400.0,397.2,11779,25-FEB-2020
PDSMFL,EQ,411.0,414.0,394.4,397.2,394.4,397.05,8314,24-FEB-2020
PDSMFL,EQ,391.95,402.0,390.2,397.05,398.2,388.9,14062,20-FEB-2020
PDSMFL,EQ,390.0,391.95,386.0,388.9,391.95,386.3,2222,19-FEB-2020
PDSMFL,EQ,391.5,391.5,384.05,386.3,388.0,386.0,6230,18-FEB-2020
PDSMFL,EQ,379.0,394.0,377.95,386.0,386.0,388.1,34237,17-FEB-2020
PDSMFL,EQ,394.0,396.0,387.5,388.1,389.0,389.75,6410,14-FEB-2020
PDSMFL,EQ,399.8,399.8,387.3,389.75,391.0,388.75,13003,13-FEB-2020
PDSMFL,EQ,382.2,390.05,379.5,388.75,390.0,376.2,34174,12-FEB-2020
PDSMFL,EQ,376.4,388.05,374.0,376.2,382.0,372.35,7779,11-FEB-2020
PDSMFL,EQ,366.25,375.0,365.65,372.35,375.0,363.25,30177,10-FEB-2020
