SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
PENINLAND,EQ,2.75,2.85,2.65,2.7,2.75,2.75,226548,20-MAR-2020
PENINLAND,EQ,2.85,2.85,2.75,2.75,2.75,2.85,80874,19-MAR-2020
PENINLAND,EQ,2.9,3.1,2.85,2.85,2.85,3.0,112266,18-MAR-2020
PENINLAND,EQ,3.0,3.05,2.9,3.0,3.05,2.95,127759,17-MAR-2020
PENINLAND,EQ,2.95,3.05,2.95,2.95,3.05,3.1,118468,16-MAR-2020
PENINLAND,EQ,3.2,3.25,3.05,3.1,3.15,3.2,245257,13-MAR-2020
PENINLAND,EQ,3.2,3.5,3.2,3.2,3.2,3.35,110754,12-MAR-2020
PENINLAND,EQ,3.5,3.65,3.35,3.35,3.5,3.5,274326,11-MAR-2020
PENINLAND,EQ,3.5,3.7,3.5,3.5,3.55,3.65,120917,09-MAR-2020
PENINLAND,EQ,3.75,3.85,3.65,3.65,3.65,3.8,69729,06-MAR-2020
PENINLAND,EQ,4.0,4.0,3.75,3.8,3.75,3.9,68476,05-MAR-2020
PENINLAND,EQ,3.85,3.9,3.65,3.9,3.9,3.75,91638,04-MAR-2020
PENINLAND,BE,3.75,4.0,3.75,3.75,3.75,3.9,61355,03-MAR-2020
PENINLAND,BE,4.1,4.2,3.9,3.9,3.9,4.1,70069,02-MAR-2020
PENINLAND,BE,4.35,4.35,4.1,4.1,4.1,4.3,72324,28-FEB-2020
PENINLAND,BE,4.2,4.35,4.1,4.3,4.15,4.3,105541,27-FEB-2020
PENINLAND,BE,4.1,4.35,3.95,4.3,4.35,4.15,55478,26-FEB-2020
PENINLAND,BE,4.3,4.3,4.1,4.15,4.2,4.3,63275,25-FEB-2020
PENINLAND,BE,4.15,4.3,4.0,4.3,4.3,4.1,92810,24-FEB-2020
PENINLAND,BE,3.95,4.1,3.85,4.1,4.1,3.95,14984,20-FEB-2020
PENINLAND,BE,3.9,3.95,3.8,3.95,3.95,3.8,20985,19-FEB-2020
PENINLAND,BE,3.95,4.05,3.8,3.8,3.9,3.95,145182,18-FEB-2020
PENINLAND,BE,4.2,4.2,3.85,3.95,4.05,4.05,162377,17-FEB-2020
PENINLAND,BE,4.15,4.3,4.0,4.05,4.0,4.2,173303,14-FEB-2020
PENINLAND,BE,4.45,4.45,4.15,4.2,4.15,4.25,67768,13-FEB-2020
PENINLAND,BE,4.05,4.3,4.05,4.25,4.3,4.2,55380,12-FEB-2020
PENINLAND,BE,4.4,4.4,4.2,4.2,4.2,4.4,84533,11-FEB-2020
PENINLAND,BE,4.6,4.6,4.4,4.4,4.4,4.6,51432,10-FEB-2020
