SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
PGIL,EQ,110.8,112.0,97.0,102.05,101.1,99.8,3297,20-MAR-2020
PGIL,EQ,102.05,115.3,96.25,99.8,99.5,108.3,6979,19-MAR-2020
PGIL,EQ,110.9,121.65,103.5,108.3,104.5,110.95,1166,18-MAR-2020
PGIL,EQ,107.6,118.4,105.0,110.95,112.85,115.75,853,17-MAR-2020
PGIL,EQ,120.0,120.0,112.0,115.75,116.0,121.8,4260,16-MAR-2020
PGIL,EQ,116.0,125.0,110.0,121.8,122.0,117.85,1078,13-MAR-2020
PGIL,EQ,121.0,121.0,115.0,117.85,119.4,128.6,5604,12-MAR-2020
PGIL,EQ,124.2,130.0,117.0,128.6,129.9,120.7,3831,11-MAR-2020
PGIL,EQ,118.0,124.0,111.1,120.7,120.0,120.25,1258,09-MAR-2020
PGIL,EQ,123.2,123.2,116.05,120.25,120.0,125.2,2200,06-MAR-2020
PGIL,EQ,134.9,134.9,122.15,125.2,122.15,125.95,3886,05-MAR-2020
PGIL,EQ,129.05,133.0,124.0,125.95,128.0,128.0,1520,04-MAR-2020
PGIL,EQ,128.0,131.95,123.8,128.0,128.0,129.8,7883,03-MAR-2020
PGIL,EQ,131.0,134.5,125.05,129.8,128.0,132.0,1293,02-MAR-2020
PGIL,EQ,132.0,134.9,128.1,132.0,134.8,133.1,3066,28-FEB-2020
PGIL,EQ,139.45,139.45,131.2,133.1,133.0,136.15,1342,27-FEB-2020
PGIL,EQ,135.0,139.95,134.95,136.15,136.0,138.25,1394,26-FEB-2020
PGIL,EQ,136.05,142.45,135.0,138.25,138.25,139.0,479,25-FEB-2020
PGIL,EQ,139.95,143.35,137.3,139.0,139.0,140.2,1668,24-FEB-2020
PGIL,EQ,133.0,144.95,131.05,140.2,142.05,132.7,8912,20-FEB-2020
PGIL,EQ,134.45,141.0,130.25,132.7,132.0,134.45,2901,19-FEB-2020
PGIL,EQ,140.95,141.6,132.05,134.45,134.0,137.85,984,18-FEB-2020
PGIL,EQ,140.0,143.5,130.95,137.85,141.0,139.85,4995,17-FEB-2020
PGIL,EQ,140.95,142.85,138.15,139.85,138.55,142.9,6339,14-FEB-2020
PGIL,EQ,142.55,145.8,137.95,142.9,141.0,139.6,4605,13-FEB-2020
PGIL,EQ,145.85,145.9,136.05,139.6,139.0,140.5,4392,12-FEB-2020
PGIL,EQ,142.45,146.75,140.0,140.5,140.5,143.1,4435,11-FEB-2020
PGIL,EQ,143.0,147.25,143.0,143.1,143.0,142.75,630,10-FEB-2020
