SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
PIONDIST,BE,96.4,103.0,96.4,103.0,103.0,98.25,7986,20-MAR-2020
PIONDIST,BE,95.0,102.0,95.0,98.25,97.0,99.35,7387,19-MAR-2020
PIONDIST,BE,104.5,105.0,99.35,99.35,99.35,104.55,17259,18-MAR-2020
PIONDIST,BE,104.5,106.0,104.5,104.55,104.5,110.0,23496,17-MAR-2020
PIONDIST,BE,110.0,110.0,110.0,110.0,110.0,115.75,784,16-MAR-2020
PIONDIST,BE,111.05,116.0,111.05,115.75,115.75,116.85,1045,13-MAR-2020
PIONDIST,BE,116.85,116.85,116.85,116.85,116.85,123.0,129,12-MAR-2020
PIONDIST,BE,125.95,125.95,120.0,123.0,123.0,125.95,2728,11-MAR-2020
PIONDIST,BE,123.5,125.95,123.45,125.95,125.95,129.9,16102,09-MAR-2020
PIONDIST,BE,128.0,134.0,125.45,129.9,129.9,132.05,491,06-MAR-2020
PIONDIST,BE,131.0,134.0,130.1,132.05,133.3,134.05,976,05-MAR-2020
PIONDIST,BE,139.45,139.45,128.05,134.05,136.0,134.35,602,04-MAR-2020
PIONDIST,EQ,140.5,140.55,133.45,134.35,134.15,133.6,19757,03-MAR-2020
PIONDIST,EQ,139.9,141.0,131.95,133.6,134.75,137.25,5282,02-MAR-2020
PIONDIST,EQ,130.55,139.0,130.55,137.25,136.4,139.55,13634,28-FEB-2020
PIONDIST,EQ,138.8,141.0,136.8,139.55,140.35,139.6,2797,27-FEB-2020
PIONDIST,EQ,139.4,142.0,138.0,139.6,139.0,142.8,4810,26-FEB-2020
PIONDIST,EQ,142.2,143.95,141.3,142.8,142.65,142.85,4920,25-FEB-2020
PIONDIST,EQ,140.6,145.2,140.6,142.85,143.2,146.35,33593,24-FEB-2020
PIONDIST,EQ,149.0,151.0,145.95,146.35,146.05,147.95,16854,20-FEB-2020
PIONDIST,EQ,150.0,150.0,146.85,147.95,148.8,149.65,59943,19-FEB-2020
PIONDIST,EQ,144.05,151.7,142.1,149.65,149.0,145.05,29404,18-FEB-2020
PIONDIST,EQ,145.0,148.5,143.2,145.05,145.5,142.9,55063,17-FEB-2020
PIONDIST,EQ,142.1,146.1,141.8,142.9,142.9,141.45,207159,14-FEB-2020
PIONDIST,EQ,134.9,143.5,134.9,141.45,140.15,137.15,110233,13-FEB-2020
PIONDIST,EQ,133.6,138.0,130.85,137.15,137.7,133.0,42200,12-FEB-2020
PIONDIST,EQ,135.15,138.65,132.5,133.0,133.8,136.95,29571,11-FEB-2020
PIONDIST,EQ,136.0,137.5,134.25,136.95,136.65,135.8,14727,10-FEB-2020
