SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
PITTIENG,EQ,24.0,28.35,22.3,25.1,26.0,24.45,18935,20-MAR-2020
PITTIENG,EQ,25.05,27.3,24.0,24.45,24.15,26.55,19490,19-MAR-2020
PITTIENG,EQ,29.0,29.75,26.25,26.55,26.4,28.95,18106,18-MAR-2020
PITTIENG,EQ,27.15,29.85,26.65,28.95,29.0,27.05,12793,17-MAR-2020
PITTIENG,EQ,28.3,35.0,26.65,27.05,27.65,32.1,113687,16-MAR-2020
PITTIENG,EQ,30.0,33.0,26.1,32.1,32.1,31.45,13259,13-MAR-2020
PITTIENG,EQ,35.0,35.7,31.0,31.45,32.7,35.2,88022,12-MAR-2020
PITTIENG,EQ,36.35,37.8,35.0,35.2,35.35,36.35,7612,11-MAR-2020
PITTIENG,EQ,38.9,38.9,34.05,36.35,36.15,38.2,30798,09-MAR-2020
PITTIENG,EQ,35.15,39.6,35.15,38.2,39.3,38.75,29857,06-MAR-2020
PITTIENG,EQ,39.9,43.3,38.65,38.75,38.8,39.7,19546,05-MAR-2020
PITTIENG,EQ,40.15,42.05,39.0,39.7,39.75,39.5,224597,04-MAR-2020
PITTIENG,EQ,33.3,40.5,33.3,39.5,39.6,35.6,98016,03-MAR-2020
PITTIENG,EQ,36.05,36.05,35.0,35.6,35.75,34.9,8360,02-MAR-2020
PITTIENG,EQ,34.95,35.1,33.95,34.9,34.0,35.05,37728,28-FEB-2020
PITTIENG,EQ,36.0,36.0,35.0,35.05,35.6,35.85,6396,27-FEB-2020
PITTIENG,EQ,36.0,36.5,34.9,35.85,36.2,36.4,18053,26-FEB-2020
PITTIENG,EQ,36.55,37.75,35.1,36.4,36.6,37.0,18146,25-FEB-2020
PITTIENG,EQ,36.0,37.15,36.0,37.0,37.05,37.3,8617,24-FEB-2020
PITTIENG,EQ,36.95,37.8,36.2,37.3,37.55,37.1,11510,20-FEB-2020
PITTIENG,EQ,38.1,38.15,36.05,37.1,36.8,37.15,11452,19-FEB-2020
PITTIENG,EQ,38.25,38.6,36.8,37.15,37.15,38.2,26968,18-FEB-2020
PITTIENG,EQ,37.7,38.7,35.8,38.2,38.25,37.85,55383,17-FEB-2020
PITTIENG,EQ,38.7,38.85,37.75,37.85,37.75,38.1,15411,14-FEB-2020
PITTIENG,EQ,39.65,39.95,37.95,38.1,38.0,39.5,19262,13-FEB-2020
PITTIENG,EQ,38.2,40.7,38.2,39.5,39.9,39.05,33338,12-FEB-2020
PITTIENG,EQ,41.0,41.35,38.6,39.05,39.35,42.95,116927,11-FEB-2020
PITTIENG,EQ,43.0,45.45,42.45,42.95,42.5,43.2,42985,10-FEB-2020
