SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
PNCINFRA,EQ,118.0,127.2,112.0,125.0,127.2,116.2,453169,20-MAR-2020
PNCINFRA,EQ,122.0,122.5,102.1,116.2,119.25,127.15,843320,19-MAR-2020
PNCINFRA,EQ,136.7,139.9,121.05,127.15,121.6,135.05,1163290,18-MAR-2020
PNCINFRA,EQ,137.15,140.6,129.8,135.05,136.05,140.6,1279141,17-MAR-2020
PNCINFRA,EQ,145.9,145.95,132.55,140.6,140.0,149.7,319965,16-MAR-2020
PNCINFRA,EQ,135.0,155.35,130.0,149.7,149.0,150.0,211136,13-MAR-2020
PNCINFRA,EQ,162.6,162.6,138.1,150.0,150.4,167.0,496476,12-MAR-2020
PNCINFRA,EQ,165.9,171.0,165.0,167.0,167.0,167.15,290654,11-MAR-2020
PNCINFRA,EQ,169.2,170.55,161.95,167.15,167.05,173.25,141079,09-MAR-2020
PNCINFRA,EQ,168.25,176.9,168.25,173.25,173.3,177.7,252634,06-MAR-2020
PNCINFRA,EQ,180.8,183.3,176.1,177.7,176.75,180.8,56655,05-MAR-2020
PNCINFRA,EQ,180.55,182.95,176.1,180.8,181.65,180.55,264121,04-MAR-2020
PNCINFRA,EQ,175.0,184.7,172.0,180.55,183.0,173.05,188802,03-MAR-2020
PNCINFRA,EQ,177.0,177.0,170.55,173.05,172.9,171.45,751312,02-MAR-2020
PNCINFRA,EQ,171.6,173.75,167.5,171.45,171.55,176.45,328196,28-FEB-2020
PNCINFRA,EQ,181.5,181.5,174.25,176.45,177.0,182.25,330074,27-FEB-2020
PNCINFRA,EQ,188.0,188.5,181.1,182.25,181.3,189.3,208659,26-FEB-2020
PNCINFRA,EQ,194.2,195.8,186.4,189.3,189.25,194.3,254668,25-FEB-2020
PNCINFRA,EQ,196.5,200.5,192.6,194.3,193.95,198.3,238898,24-FEB-2020
PNCINFRA,EQ,201.85,203.65,197.1,198.3,197.2,202.35,175656,20-FEB-2020
PNCINFRA,EQ,203.25,205.75,201.15,202.35,201.5,201.85,114380,19-FEB-2020
PNCINFRA,EQ,207.2,208.7,194.4,201.85,200.2,208.3,564905,18-FEB-2020
PNCINFRA,EQ,204.0,214.85,200.2,208.3,206.5,202.4,839531,17-FEB-2020
PNCINFRA,EQ,204.2,204.2,200.65,202.4,202.5,202.5,174770,14-FEB-2020
PNCINFRA,EQ,204.95,205.9,200.0,202.5,201.95,199.05,523302,13-FEB-2020
PNCINFRA,EQ,199.0,200.55,196.5,199.05,198.6,198.05,156593,12-FEB-2020
PNCINFRA,EQ,197.0,200.5,192.65,198.05,197.55,197.2,471087,11-FEB-2020
PNCINFRA,EQ,200.0,201.0,192.15,197.2,196.2,199.95,380013,10-FEB-2020
