SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
PRABHAT,EQ,49.85,51.95,48.6,51.1,51.95,49.85,39983,20-MAR-2020
PRABHAT,EQ,51.05,51.05,47.9,49.85,50.05,53.05,76279,19-MAR-2020
PRABHAT,EQ,57.4,57.55,52.0,53.05,53.5,56.8,46453,18-MAR-2020
PRABHAT,EQ,59.05,59.85,56.5,56.8,57.0,58.5,48762,17-MAR-2020
PRABHAT,EQ,58.1,60.0,57.5,58.5,58.3,58.5,31178,16-MAR-2020
PRABHAT,EQ,46.8,63.25,45.3,58.5,58.1,56.5,29642,13-MAR-2020
PRABHAT,EQ,58.0,62.7,55.1,56.5,57.1,65.25,54527,12-MAR-2020
PRABHAT,EQ,65.0,68.0,63.9,65.25,65.3,66.05,44061,11-MAR-2020
PRABHAT,EQ,65.6,68.5,61.75,66.05,66.15,69.1,142531,09-MAR-2020
PRABHAT,EQ,66.1,70.4,66.0,69.1,69.0,70.1,18997,06-MAR-2020
PRABHAT,EQ,69.85,70.45,69.85,70.1,70.1,69.55,19378,05-MAR-2020
PRABHAT,EQ,68.6,70.5,68.4,69.55,70.0,70.9,22544,04-MAR-2020
PRABHAT,EQ,72.95,74.95,70.3,70.9,70.75,72.25,23551,03-MAR-2020
PRABHAT,EQ,74.55,75.1,71.05,72.25,72.0,74.9,49880,02-MAR-2020
PRABHAT,EQ,75.1,75.85,74.2,74.9,74.35,76.5,53780,28-FEB-2020
PRABHAT,EQ,77.0,77.0,75.3,76.5,76.55,77.1,36042,27-FEB-2020
PRABHAT,EQ,77.15,78.3,76.5,77.1,77.05,78.15,36975,26-FEB-2020
PRABHAT,EQ,80.95,81.45,78.0,78.15,78.25,80.45,42837,25-FEB-2020
PRABHAT,EQ,81.0,81.45,74.05,80.45,80.15,81.6,64123,24-FEB-2020
PRABHAT,EQ,87.55,87.9,80.6,81.6,81.3,82.9,1261580,20-FEB-2020
PRABHAT,EQ,77.75,84.05,77.75,82.9,82.5,81.0,182373,19-FEB-2020
PRABHAT,EQ,81.1,81.4,80.1,81.0,81.0,81.8,53259,18-FEB-2020
PRABHAT,EQ,84.95,84.95,81.2,81.8,81.2,82.15,34504,17-FEB-2020
PRABHAT,EQ,83.35,83.55,82.15,82.15,82.15,82.5,6971,14-FEB-2020
PRABHAT,EQ,82.0,83.5,82.0,82.5,82.5,83.2,11613,13-FEB-2020
PRABHAT,EQ,83.0,84.45,82.2,83.2,83.2,83.7,10503,12-FEB-2020
PRABHAT,EQ,83.0,84.0,82.05,83.7,83.9,83.3,11179,11-FEB-2020
PRABHAT,EQ,81.0,84.5,81.0,83.3,83.05,84.25,30989,10-FEB-2020
