SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
PRAKASH,EQ,21.9,22.95,21.4,22.05,22.0,21.45,1175012,20-MAR-2020
PRAKASH,EQ,23.0,23.0,20.9,21.45,21.2,23.2,3075365,19-MAR-2020
PRAKASH,EQ,26.0,26.4,22.8,23.2,23.05,25.05,1021842,18-MAR-2020
PRAKASH,EQ,25.05,26.3,24.5,25.05,25.5,24.5,1019511,17-MAR-2020
PRAKASH,EQ,27.5,29.3,23.25,24.5,24.3,29.05,3372007,16-MAR-2020
PRAKASH,EQ,25.35,31.0,24.5,29.05,29.5,29.5,1094776,13-MAR-2020
PRAKASH,EQ,32.05,32.9,27.5,29.5,30.0,34.15,1431614,12-MAR-2020
PRAKASH,EQ,32.35,34.6,32.35,34.15,33.9,32.25,616813,11-MAR-2020
PRAKASH,EQ,36.3,36.3,31.55,32.25,32.05,37.3,1102924,09-MAR-2020
PRAKASH,EQ,35.2,37.8,34.0,37.3,37.1,37.4,596748,06-MAR-2020
PRAKASH,EQ,37.6,38.25,36.7,37.4,37.0,37.35,466440,05-MAR-2020
PRAKASH,EQ,37.05,38.2,35.7,37.35,37.65,38.2,344965,04-MAR-2020
PRAKASH,EQ,37.9,38.45,37.15,38.2,38.15,37.4,377310,03-MAR-2020
PRAKASH,EQ,38.0,38.75,36.65,37.4,36.95,36.75,460312,02-MAR-2020
PRAKASH,EQ,39.15,39.15,36.05,36.75,36.5,39.75,727952,28-FEB-2020
PRAKASH,EQ,39.75,40.45,39.65,39.75,39.75,39.75,443271,27-FEB-2020
PRAKASH,EQ,40.9,41.2,39.05,39.75,39.25,41.1,376292,26-FEB-2020
PRAKASH,EQ,41.8,42.1,40.7,41.1,41.35,41.3,320749,25-FEB-2020
PRAKASH,EQ,42.7,42.7,41.0,41.3,41.3,42.7,285040,24-FEB-2020
PRAKASH,EQ,41.55,43.45,41.25,42.7,42.9,41.85,333789,20-FEB-2020
PRAKASH,EQ,41.2,42.85,40.5,41.85,41.9,41.2,511245,19-FEB-2020
PRAKASH,EQ,42.3,42.3,40.0,41.2,41.25,42.25,467135,18-FEB-2020
PRAKASH,EQ,44.2,44.45,41.8,42.25,41.85,44.2,417646,17-FEB-2020
PRAKASH,EQ,44.5,45.7,43.9,44.2,43.9,44.95,313124,14-FEB-2020
PRAKASH,EQ,44.1,45.9,43.2,44.95,44.8,44.85,513269,13-FEB-2020
PRAKASH,EQ,45.95,46.45,44.05,44.85,44.05,45.5,270228,12-FEB-2020
PRAKASH,EQ,46.1,47.0,45.15,45.5,45.2,46.1,375619,11-FEB-2020
PRAKASH,EQ,46.0,46.8,45.2,46.1,46.1,46.15,234004,10-FEB-2020
