SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
PREMIER,EQ,1.45,1.45,1.45,1.45,1.45,1.5,600,19-MAR-2020
PREMIER,EQ,1.5,1.5,1.5,1.5,1.5,1.55,315,17-MAR-2020
PREMIER,EQ,1.55,1.55,1.55,1.55,1.55,1.55,901,16-MAR-2020
PREMIER,EQ,1.5,1.55,1.5,1.55,1.55,1.55,400,13-MAR-2020
PREMIER,EQ,1.6,1.6,1.55,1.55,1.55,1.6,55,12-MAR-2020
PREMIER,EQ,1.6,1.6,1.6,1.6,1.6,1.65,3203,11-MAR-2020
PREMIER,EQ,1.65,1.65,1.65,1.65,1.65,1.7,627,09-MAR-2020
PREMIER,EQ,1.7,1.7,1.7,1.7,1.7,1.75,50,06-MAR-2020
PREMIER,EQ,1.75,1.75,1.75,1.75,1.75,1.8,479,05-MAR-2020
PREMIER,EQ,1.8,1.8,1.75,1.8,1.8,1.75,12503,04-MAR-2020
PREMIER,BE,1.75,1.75,1.75,1.75,1.75,1.75,25,03-MAR-2020
PREMIER,BE,1.85,1.85,1.75,1.75,1.75,1.8,314,02-MAR-2020
PREMIER,BE,1.8,1.85,1.8,1.8,1.8,1.8,7748,28-FEB-2020
PREMIER,BE,1.8,1.8,1.8,1.8,1.8,1.8,51,27-FEB-2020
PREMIER,BE,1.8,1.8,1.8,1.8,1.8,1.8,503,26-FEB-2020
PREMIER,BE,1.8,1.8,1.8,1.8,1.8,1.75,250,25-FEB-2020
PREMIER,BE,1.7,1.75,1.7,1.75,1.75,1.7,1118,24-FEB-2020
PREMIER,BE,1.7,1.7,1.7,1.7,1.7,1.65,2015,20-FEB-2020
PREMIER,BE,1.7,1.7,1.65,1.65,1.7,1.7,1633,19-FEB-2020
PREMIER,BE,1.7,1.7,1.7,1.7,1.7,1.75,500,18-FEB-2020
PREMIER,BE,1.8,1.8,1.75,1.75,1.75,1.8,203,17-FEB-2020
PREMIER,BE,1.7,1.8,1.7,1.8,1.8,1.75,685,14-FEB-2020
PREMIER,BE,1.8,1.8,1.75,1.75,1.75,1.8,734,13-FEB-2020
PREMIER,BE,1.8,1.8,1.8,1.8,1.8,1.8,906,12-FEB-2020
PREMIER,BE,1.8,1.8,1.8,1.8,1.8,1.85,636,11-FEB-2020
PREMIER,BE,1.85,1.85,1.85,1.85,1.85,1.9,435,10-FEB-2020
