SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
PREMIERPOL,EQ,21.45,21.45,19.1,19.1,19.1,19.95,597,20-MAR-2020
PREMIERPOL,EQ,20.5,20.5,19.3,19.95,19.95,19.35,641,19-MAR-2020
PREMIERPOL,EQ,22.0,22.2,18.1,19.35,19.35,20.8,2891,18-MAR-2020
PREMIERPOL,EQ,20.6,22.8,20.6,20.8,20.8,21.25,295,17-MAR-2020
PREMIERPOL,EQ,21.1,22.65,20.8,21.25,21.5,23.35,812,16-MAR-2020
PREMIERPOL,EQ,23.0,23.65,20.1,23.35,23.65,21.5,866,13-MAR-2020
PREMIERPOL,EQ,21.5,22.2,19.2,21.5,21.05,21.3,5603,12-MAR-2020
PREMIERPOL,EQ,26.3,26.3,19.75,21.3,21.5,22.5,3560,11-MAR-2020
PREMIERPOL,EQ,21.5,22.95,21.05,22.5,22.5,21.05,669,09-MAR-2020
PREMIERPOL,EQ,22.1,22.1,20.55,21.05,21.05,22.6,3791,06-MAR-2020
PREMIERPOL,EQ,22.9,22.9,22.05,22.6,22.6,22.9,1250,05-MAR-2020
PREMIERPOL,EQ,23.15,23.15,22.0,22.9,22.9,23.2,3893,04-MAR-2020
PREMIERPOL,EQ,22.1,23.4,22.0,23.2,23.2,22.0,2703,03-MAR-2020
PREMIERPOL,EQ,23.9,25.85,22.0,22.0,22.0,22.2,1024,02-MAR-2020
PREMIERPOL,EQ,22.5,23.35,22.2,22.2,22.2,23.25,1123,28-FEB-2020
PREMIERPOL,EQ,22.1,26.7,22.1,23.25,23.7,22.65,2507,27-FEB-2020
PREMIERPOL,EQ,22.65,24.45,22.25,22.65,22.65,22.65,984,26-FEB-2020
PREMIERPOL,EQ,23.0,23.95,22.6,22.65,22.65,22.0,974,25-FEB-2020
PREMIERPOL,EQ,23.35,23.35,21.8,22.0,22.0,23.35,657,24-FEB-2020
PREMIERPOL,EQ,24.75,24.75,22.6,23.35,23.15,23.5,2178,20-FEB-2020
PREMIERPOL,EQ,24.8,25.4,22.7,23.5,23.5,23.15,652,19-FEB-2020
PREMIERPOL,EQ,22.35,27.45,22.35,23.15,23.0,23.55,11802,18-FEB-2020
PREMIERPOL,EQ,24.55,24.55,23.4,23.55,23.55,24.55,558,17-FEB-2020
PREMIERPOL,EQ,24.0,25.85,23.5,24.55,25.05,22.7,8926,14-FEB-2020
PREMIERPOL,EQ,24.5,24.5,22.1,22.7,22.1,24.5,357,13-FEB-2020
PREMIERPOL,EQ,26.0,26.0,23.65,24.5,24.5,25.0,3973,12-FEB-2020
PREMIERPOL,EQ,26.1,26.1,24.4,25.0,24.9,25.8,5870,11-FEB-2020
PREMIERPOL,EQ,27.15,27.15,23.1,25.8,25.8,26.15,12407,10-FEB-2020
