SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
PROSEED,EQ,0.25,0.25,0.2,0.25,0.25,0.25,17900,20-MAR-2020
PROSEED,EQ,0.2,0.25,0.2,0.25,0.25,0.2,313,19-MAR-2020
PROSEED,EQ,0.2,0.2,0.2,0.2,0.2,0.2,3200,18-MAR-2020
PROSEED,EQ,0.2,0.2,0.2,0.2,0.2,0.2,11516,17-MAR-2020
PROSEED,EQ,0.2,0.2,0.2,0.2,0.2,0.2,18150,16-MAR-2020
PROSEED,EQ,0.2,0.2,0.2,0.2,0.2,0.2,3187,13-MAR-2020
PROSEED,EQ,0.2,0.3,0.2,0.2,0.2,0.25,7281,12-MAR-2020
PROSEED,EQ,0.25,0.25,0.25,0.25,0.25,0.25,7840,11-MAR-2020
PROSEED,EQ,0.25,0.25,0.25,0.25,0.25,0.25,12200,09-MAR-2020
PROSEED,EQ,0.25,0.25,0.25,0.25,0.25,0.25,516,06-MAR-2020
PROSEED,EQ,0.25,0.25,0.25,0.25,0.25,0.25,3727,05-MAR-2020
PROSEED,EQ,0.25,0.25,0.25,0.25,0.25,0.25,22465,04-MAR-2020
PROSEED,EQ,0.25,0.25,0.25,0.25,0.25,0.3,10000,03-MAR-2020
PROSEED,EQ,0.25,0.3,0.25,0.3,0.3,0.3,12100,02-MAR-2020
PROSEED,EQ,0.25,0.3,0.25,0.3,0.3,0.25,10409,28-FEB-2020
PROSEED,EQ,0.25,0.25,0.25,0.25,0.25,0.3,33789,27-FEB-2020
PROSEED,EQ,0.25,0.3,0.2,0.3,0.3,0.25,48756,26-FEB-2020
PROSEED,EQ,0.25,0.25,0.25,0.25,0.25,0.25,21688,25-FEB-2020
PROSEED,EQ,0.25,0.3,0.25,0.25,0.25,0.3,42988,24-FEB-2020
PROSEED,EQ,0.25,0.3,0.25,0.3,0.3,0.3,6028,20-FEB-2020
PROSEED,EQ,0.25,0.3,0.25,0.3,0.3,0.25,2151,19-FEB-2020
PROSEED,EQ,0.3,0.3,0.25,0.25,0.25,0.25,11821,18-FEB-2020
PROSEED,EQ,0.25,0.3,0.25,0.25,0.25,0.25,2963,17-FEB-2020
PROSEED,EQ,0.3,0.3,0.25,0.25,0.25,0.25,3401,14-FEB-2020
PROSEED,EQ,0.25,0.3,0.25,0.25,0.25,0.3,1602,13-FEB-2020
PROSEED,EQ,0.25,0.3,0.25,0.3,0.3,0.3,3000,12-FEB-2020
PROSEED,EQ,0.25,0.3,0.25,0.3,0.3,0.3,122,11-FEB-2020
PROSEED,EQ,0.25,0.3,0.25,0.3,0.3,0.3,12510,10-FEB-2020
