SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
PSL,BE,0.25,0.3,0.25,0.3,0.3,0.3,22779,20-MAR-2020
PSL,BE,0.35,0.35,0.3,0.3,0.3,0.35,11000,19-MAR-2020
PSL,BE,0.35,0.35,0.35,0.35,0.35,0.35,5650,18-MAR-2020
PSL,BE,0.35,0.4,0.35,0.35,0.35,0.4,14085,17-MAR-2020
PSL,BE,0.4,0.4,0.4,0.4,0.4,0.4,2600,16-MAR-2020
PSL,BE,0.45,0.45,0.4,0.4,0.4,0.45,14229,13-MAR-2020
PSL,EQ,0.45,0.45,0.45,0.45,0.45,0.5,8317,12-MAR-2020
PSL,EQ,0.5,0.5,0.5,0.5,0.5,0.5,100,11-MAR-2020
PSL,EQ,0.5,0.5,0.5,0.5,0.5,0.5,32,09-MAR-2020
PSL,EQ,0.5,0.5,0.5,0.5,0.5,0.5,100,06-MAR-2020
PSL,EQ,0.4,0.5,0.4,0.5,0.5,0.45,351,05-MAR-2020
PSL,EQ,0.45,0.45,0.45,0.45,0.45,0.5,7570,04-MAR-2020
PSL,EQ,0.5,0.55,0.5,0.5,0.5,0.5,9319,03-MAR-2020
PSL,EQ,0.5,0.5,0.5,0.5,0.5,0.5,115,02-MAR-2020
PSL,EQ,0.55,0.55,0.45,0.5,0.5,0.5,8666,28-FEB-2020
PSL,EQ,0.4,0.5,0.4,0.5,0.5,0.45,2476,27-FEB-2020
PSL,EQ,0.45,0.5,0.45,0.45,0.45,0.5,2001,26-FEB-2020
PSL,EQ,0.45,0.5,0.45,0.5,0.5,0.45,2956,25-FEB-2020
PSL,EQ,0.45,0.45,0.4,0.45,0.45,0.45,18745,24-FEB-2020
PSL,EQ,0.45,0.45,0.45,0.45,0.45,0.45,5554,20-FEB-2020
PSL,EQ,0.5,0.5,0.45,0.45,0.45,0.5,2407,19-FEB-2020
PSL,EQ,0.55,0.55,0.5,0.5,0.5,0.5,3809,18-FEB-2020
PSL,EQ,0.45,0.5,0.45,0.5,0.5,0.45,16470,17-FEB-2020
PSL,EQ,0.45,0.5,0.45,0.45,0.45,0.5,932,14-FEB-2020
PSL,EQ,0.55,0.55,0.5,0.5,0.5,0.55,5045,13-FEB-2020
PSL,EQ,0.55,0.55,0.5,0.55,0.55,0.55,3001,12-FEB-2020
PSL,EQ,0.55,0.55,0.55,0.55,0.55,0.5,11182,11-FEB-2020
PSL,EQ,0.45,0.5,0.45,0.5,0.5,0.5,1502,10-FEB-2020
