SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
PSUBNKBEES,EQ,16.5,16.79,15.6,15.88,15.8,16.12,38133,20-MAR-2020
PSUBNKBEES,EQ,16.8,17.4,15.5,16.12,16.34,17.07,68674,19-MAR-2020
PSUBNKBEES,EQ,18.05,18.05,16.84,17.07,17.2,17.84,33601,18-MAR-2020
PSUBNKBEES,EQ,17.5,18.05,16.7,17.84,17.94,17.37,39985,17-MAR-2020
PSUBNKBEES,EQ,17.2,18.5,16.01,17.37,17.5,17.9,124525,16-MAR-2020
PSUBNKBEES,EQ,15.85,18.72,15.01,17.9,18.49,16.07,119356,13-MAR-2020
PSUBNKBEES,EQ,18.1,18.1,15.85,16.07,15.99,17.86,380059,12-MAR-2020
PSUBNKBEES,EQ,18.94,19.3,17.8,17.86,17.84,19.13,263320,11-MAR-2020
PSUBNKBEES,EQ,19.9,20.35,18.58,19.13,19.15,19.93,208779,09-MAR-2020
PSUBNKBEES,EQ,20.55,20.7,19.4,19.93,19.94,20.86,187152,06-MAR-2020
PSUBNKBEES,EQ,20.8,21.24,20.0,20.86,20.83,20.62,96734,05-MAR-2020
PSUBNKBEES,EQ,20.9,21.0,20.05,20.62,20.59,20.74,70751,04-MAR-2020
PSUBNKBEES,EQ,20.75,20.82,20.4,20.74,20.8,20.46,51641,03-MAR-2020
PSUBNKBEES,EQ,21.87,21.87,20.24,20.46,20.48,21.49,154926,02-MAR-2020
PSUBNKBEES,EQ,21.9,22.49,21.2,21.49,21.51,22.56,185351,28-FEB-2020
PSUBNKBEES,EQ,23.25,23.25,22.5,22.56,22.61,23.04,459784,27-FEB-2020
PSUBNKBEES,EQ,23.5,23.5,22.98,23.04,23.03,23.24,23980,26-FEB-2020
PSUBNKBEES,EQ,23.5,23.5,23.02,23.24,23.3,23.24,23705,25-FEB-2020
PSUBNKBEES,EQ,23.6,24.3,23.0,23.24,23.24,23.87,63077,24-FEB-2020
PSUBNKBEES,EQ,23.9,24.05,23.0,23.87,23.85,23.61,50680,20-FEB-2020
PSUBNKBEES,EQ,23.9,24.4,23.35,23.61,23.64,23.48,30183,19-FEB-2020
PSUBNKBEES,EQ,23.8,23.8,22.9,23.48,23.46,23.61,147634,18-FEB-2020
PSUBNKBEES,EQ,24.55,24.55,23.6,23.61,23.61,24.3,59268,17-FEB-2020
PSUBNKBEES,EQ,24.85,24.99,24.3,24.3,24.33,24.83,42779,14-FEB-2020
PSUBNKBEES,EQ,24.99,25.06,24.74,24.83,24.81,24.71,28217,13-FEB-2020
PSUBNKBEES,EQ,25.3,25.49,24.7,24.71,24.7,25.27,19488,12-FEB-2020
PSUBNKBEES,EQ,25.38,25.48,25.12,25.27,25.18,25.13,10700,11-FEB-2020
PSUBNKBEES,EQ,25.45,25.46,25.05,25.13,25.16,25.51,41208,10-FEB-2020
