SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
QNIFTY,EQ,854.0,889.0,852.0,889.0,889.0,852.61,249,20-MAR-2020
QNIFTY,EQ,858.7,895.56,771.31,852.61,832.0,926.0,1212,19-MAR-2020
QNIFTY,EQ,942.0,943.73,878.7,926.0,926.0,958.63,120,18-MAR-2020
QNIFTY,EQ,962.0,986.0,940.0,958.63,941.0,969.33,52,17-MAR-2020
QNIFTY,EQ,1000.0,1000.0,958.7,969.33,964.0,1022.81,255,16-MAR-2020
QNIFTY,EQ,870.0,1146.0,870.0,1022.81,1023.0,1017.0,3380,13-MAR-2020
QNIFTY,EQ,1050.0,1050.0,1017.0,1017.0,1017.0,1077.0,41,12-MAR-2020
QNIFTY,EQ,1079.0,1079.0,1071.0,1077.0,1077.0,1071.0,42,11-MAR-2020
QNIFTY,EQ,1108.7,1108.7,1071.0,1071.0,1071.0,1130.0,47,09-MAR-2020
QNIFTY,EQ,1126.0,1130.0,1124.0,1130.0,1130.0,1161.0,38,06-MAR-2020
QNIFTY,EQ,1161.0,1161.0,1161.0,1161.0,1161.0,1153.0,4,05-MAR-2020
QNIFTY,EQ,1159.0,1161.0,1143.0,1153.0,1157.0,1153.0,66,04-MAR-2020
QNIFTY,EQ,1163.0,1163.0,1153.0,1153.0,1153.0,1154.0,68,03-MAR-2020
QNIFTY,EQ,1166.0,1169.0,1148.0,1154.0,1148.0,1158.0,141,02-MAR-2020
QNIFTY,EQ,1166.0,1168.0,1158.0,1158.0,1158.0,1188.7,19,28-FEB-2020
QNIFTY,EQ,1191.0,1191.0,1188.0,1188.7,1188.7,1199.0,5,27-FEB-2020
QNIFTY,EQ,1208.7,1208.7,1199.0,1199.0,1199.0,1220.5,4,26-FEB-2020
QNIFTY,EQ,1219.0,1220.5,1219.0,1220.5,1220.5,1219.87,11,25-FEB-2020
QNIFTY,EQ,1228.7,1228.7,1219.5,1219.87,1221.0,1229.76,72,24-FEB-2020
QNIFTY,EQ,1233.0,1233.0,1227.5,1229.76,1232.0,1243.0,34,18-FEB-2020
QNIFTY,EQ,1249.0,1249.0,1243.0,1243.0,1243.0,1249.0,5,17-FEB-2020
QNIFTY,EQ,1256.0,1256.0,1248.0,1249.0,1249.0,1250.0,94,14-FEB-2020
QNIFTY,EQ,1253.0,1253.0,1250.0,1250.0,1250.0,1253.5,26,13-FEB-2020
QNIFTY,EQ,1253.5,1253.5,1253.5,1253.5,1253.5,1248.0,2,12-FEB-2020
QNIFTY,EQ,1249.5,1249.5,1248.0,1248.0,1248.0,1235.0,12,11-FEB-2020
QNIFTY,EQ,1235.0,1235.0,1235.0,1235.0,1235.0,1247.0,1,10-FEB-2020
