SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
RADAAN,EQ,1.0,1.0,1.0,1.0,1.0,1.0,400,20-MAR-2020
RADAAN,EQ,1.0,1.0,1.0,1.0,1.0,1.0,100,19-MAR-2020
RADAAN,EQ,1.05,1.05,1.0,1.0,1.0,1.05,1600,16-MAR-2020
RADAAN,EQ,1.05,1.05,1.05,1.05,1.05,1.1,1700,13-MAR-2020
RADAAN,EQ,1.1,1.1,1.1,1.1,1.1,1.15,10,11-MAR-2020
RADAAN,EQ,1.15,1.15,1.15,1.15,1.15,1.15,100,09-MAR-2020
RADAAN,EQ,1.15,1.15,1.15,1.15,1.15,1.1,100,06-MAR-2020
RADAAN,EQ,1.1,1.1,1.1,1.1,1.1,1.15,10,05-MAR-2020
RADAAN,EQ,1.15,1.15,1.15,1.15,1.15,1.15,10184,04-MAR-2020
RADAAN,EQ,1.15,1.15,1.15,1.15,1.15,1.2,12,03-MAR-2020
RADAAN,EQ,1.2,1.2,1.2,1.2,1.2,1.25,250,02-MAR-2020
RADAAN,EQ,1.25,1.25,1.25,1.25,1.25,1.25,100,28-FEB-2020
RADAAN,EQ,1.25,1.25,1.25,1.25,1.25,1.25,10,27-FEB-2020
RADAAN,EQ,1.3,1.3,1.25,1.25,1.25,1.25,120,26-FEB-2020
RADAAN,EQ,1.25,1.25,1.25,1.25,1.25,1.25,2000,25-FEB-2020
RADAAN,EQ,1.25,1.25,1.25,1.25,1.25,1.2,2260,20-FEB-2020
RADAAN,EQ,1.2,1.2,1.2,1.2,1.2,1.2,100,17-FEB-2020
RADAAN,EQ,1.2,1.2,1.2,1.2,1.2,1.25,500,14-FEB-2020
RADAAN,EQ,1.2,1.25,1.2,1.25,1.25,1.25,4126,13-FEB-2020
RADAAN,EQ,1.2,1.25,1.2,1.25,1.25,1.2,165,12-FEB-2020
RADAAN,EQ,1.1,1.2,1.1,1.2,1.2,1.15,366,10-FEB-2020
