SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
RAMCOSYS,EQ,80.95,81.3,76.25,78.4,79.5,77.75,56587,20-MAR-2020
RAMCOSYS,EQ,74.0,83.2,68.5,77.75,79.4,75.65,63878,19-MAR-2020
RAMCOSYS,EQ,81.6,84.0,74.75,75.65,75.0,81.55,112398,18-MAR-2020
RAMCOSYS,EQ,83.45,92.15,79.25,81.55,80.7,86.6,71296,17-MAR-2020
RAMCOSYS,EQ,94.5,96.25,84.3,86.6,86.5,96.5,83274,16-MAR-2020
RAMCOSYS,EQ,89.5,98.8,81.2,96.5,98.0,94.4,52627,13-MAR-2020
RAMCOSYS,EQ,102.4,102.4,93.0,94.4,94.1,106.9,55746,12-MAR-2020
RAMCOSYS,EQ,104.25,113.0,104.15,106.9,106.0,104.2,73715,11-MAR-2020
RAMCOSYS,EQ,115.4,115.4,101.0,104.2,106.0,117.0,94097,09-MAR-2020
RAMCOSYS,EQ,115.0,125.1,112.65,117.0,116.5,120.95,47720,06-MAR-2020
RAMCOSYS,EQ,123.0,126.8,120.0,120.95,120.3,124.95,47814,05-MAR-2020
RAMCOSYS,EQ,129.05,131.8,122.45,124.95,124.0,130.1,35469,04-MAR-2020
RAMCOSYS,EQ,128.35,131.0,124.5,130.1,131.0,125.3,28673,03-MAR-2020
RAMCOSYS,EQ,133.1,137.0,123.0,125.3,124.0,131.9,37675,02-MAR-2020
RAMCOSYS,EQ,134.0,137.4,131.0,131.9,131.9,140.75,39348,28-FEB-2020
RAMCOSYS,EQ,143.5,143.5,136.6,140.75,141.0,141.95,34396,27-FEB-2020
RAMCOSYS,EQ,146.5,151.25,140.55,141.95,141.1,149.95,47230,26-FEB-2020
RAMCOSYS,EQ,155.9,155.9,149.0,149.95,149.1,153.05,24022,25-FEB-2020
RAMCOSYS,EQ,155.0,157.2,151.15,153.05,153.65,155.0,22980,24-FEB-2020
RAMCOSYS,EQ,152.7,157.55,150.3,155.0,154.45,152.7,40225,20-FEB-2020
RAMCOSYS,EQ,159.75,160.75,151.2,152.7,152.1,155.7,51624,19-FEB-2020
RAMCOSYS,EQ,158.5,159.0,151.7,155.7,155.0,158.5,57281,18-FEB-2020
RAMCOSYS,EQ,164.0,164.15,157.25,158.5,159.9,163.3,27403,17-FEB-2020
RAMCOSYS,EQ,163.55,167.65,162.5,163.3,163.5,164.45,32078,14-FEB-2020
RAMCOSYS,EQ,167.25,169.0,163.0,164.45,164.05,165.85,29256,13-FEB-2020
RAMCOSYS,EQ,167.4,169.8,165.15,165.85,166.4,167.4,16762,12-FEB-2020
RAMCOSYS,EQ,164.6,171.35,164.6,167.4,167.25,163.8,66841,11-FEB-2020
RAMCOSYS,EQ,168.45,168.85,162.0,163.8,163.05,167.75,54014,10-FEB-2020
