SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
RANASUG,EQ,2.75,2.85,2.65,2.7,2.65,2.75,317606,20-MAR-2020
RANASUG,EQ,2.75,2.9,2.7,2.75,2.7,2.8,104243,19-MAR-2020
RANASUG,EQ,3.0,3.0,2.8,2.8,2.8,2.9,197114,18-MAR-2020
RANASUG,EQ,2.8,2.9,2.7,2.9,2.9,2.8,164218,17-MAR-2020
RANASUG,EQ,2.9,2.9,2.8,2.8,2.8,2.9,153162,16-MAR-2020
RANASUG,EQ,2.9,3.05,2.9,2.9,2.9,3.05,227835,13-MAR-2020
RANASUG,EQ,3.05,3.1,3.05,3.05,3.05,3.2,50194,12-MAR-2020
RANASUG,EQ,3.3,3.35,3.2,3.2,3.2,3.35,139000,11-MAR-2020
RANASUG,EQ,3.45,3.45,3.35,3.35,3.35,3.5,115618,09-MAR-2020
RANASUG,EQ,3.6,3.7,3.45,3.5,3.5,3.6,194469,06-MAR-2020
RANASUG,EQ,3.8,3.85,3.55,3.6,3.6,3.7,185127,05-MAR-2020
RANASUG,EQ,3.9,4.0,3.7,3.7,3.75,3.85,96644,04-MAR-2020
RANASUG,BE,3.7,3.9,3.7,3.85,3.85,3.75,99581,03-MAR-2020
RANASUG,BE,3.85,4.0,3.7,3.75,3.85,3.85,158158,02-MAR-2020
RANASUG,BE,4.0,4.0,3.85,3.85,3.85,4.05,89072,28-FEB-2020
RANASUG,BE,4.4,4.4,4.05,4.05,4.05,4.25,82332,27-FEB-2020
RANASUG,BE,4.35,4.45,4.25,4.25,4.25,4.45,86529,26-FEB-2020
RANASUG,BE,4.5,4.65,4.35,4.45,4.4,4.55,39265,25-FEB-2020
RANASUG,BE,4.4,4.8,4.4,4.55,4.55,4.6,69944,24-FEB-2020
RANASUG,BE,4.75,4.8,4.6,4.6,4.6,4.8,157416,20-FEB-2020
RANASUG,BE,4.8,4.8,4.55,4.8,4.8,4.6,128007,19-FEB-2020
RANASUG,BE,4.8,4.8,4.45,4.6,4.6,4.65,192132,18-FEB-2020
RANASUG,BE,4.55,4.65,4.55,4.65,4.65,4.45,206514,17-FEB-2020
RANASUG,BE,4.55,4.7,4.35,4.45,4.5,4.55,151185,14-FEB-2020
RANASUG,BE,4.95,4.95,4.55,4.55,4.65,4.75,295427,13-FEB-2020
RANASUG,BE,4.55,4.95,4.55,4.75,4.85,4.75,416353,12-FEB-2020
RANASUG,BE,4.75,4.75,4.75,4.75,4.75,5.0,204158,11-FEB-2020
RANASUG,BE,5.5,5.5,5.0,5.0,5.0,5.25,164160,10-FEB-2020
