SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
REFEX,EQ,34.2,36.7,34.2,34.2,34.2,35.95,134191,20-MAR-2020
REFEX,EQ,35.95,35.95,35.95,35.95,35.95,37.8,8940,19-MAR-2020
REFEX,EQ,38.25,39.7,37.8,37.8,37.8,39.75,35934,18-MAR-2020
REFEX,EQ,39.75,41.5,39.75,39.75,39.75,41.8,123937,17-MAR-2020
REFEX,EQ,41.8,43.5,41.8,41.8,41.8,44.0,74604,16-MAR-2020
REFEX,EQ,44.0,46.0,44.0,44.0,44.0,46.3,127516,13-MAR-2020
REFEX,EQ,46.5,46.55,46.3,46.3,46.3,48.7,14641,12-MAR-2020
REFEX,EQ,51.0,52.25,48.0,48.7,48.7,49.9,152519,11-MAR-2020
REFEX,EQ,51.5,51.5,49.9,49.9,49.9,52.5,69546,09-MAR-2020
REFEX,EQ,50.95,54.5,50.95,52.5,52.95,53.6,130565,06-MAR-2020
REFEX,EQ,52.8,55.75,50.5,53.6,53.95,53.15,271536,05-MAR-2020
REFEX,EQ,56.0,56.7,53.15,53.15,53.15,55.9,91303,04-MAR-2020
REFEX,EQ,59.0,61.7,55.9,55.9,55.95,58.8,203703,03-MAR-2020
REFEX,EQ,61.0,63.7,58.65,58.8,58.65,61.7,134531,02-MAR-2020
REFEX,EQ,64.2,64.2,61.7,61.7,61.7,64.9,132963,28-FEB-2020
REFEX,EQ,66.4,66.85,64.15,64.9,65.25,64.85,113090,27-FEB-2020
REFEX,EQ,64.1,66.5,63.6,64.85,65.6,64.5,182214,26-FEB-2020
REFEX,EQ,67.95,68.65,63.85,64.5,65.3,67.15,163386,25-FEB-2020
REFEX,EQ,68.1,73.4,66.8,67.15,67.0,69.95,211959,24-FEB-2020
REFEX,EQ,70.5,73.0,69.95,69.95,69.95,73.6,259996,20-FEB-2020
REFEX,EQ,79.4,80.2,73.1,73.6,73.1,76.9,500851,19-FEB-2020
REFEX,EQ,75.55,76.9,74.1,76.9,76.9,73.25,402053,18-FEB-2020
REFEX,EQ,73.25,73.25,72.0,73.25,73.25,69.8,261224,17-FEB-2020
REFEX,EQ,69.8,69.8,66.0,69.8,69.8,66.5,499978,14-FEB-2020
REFEX,EQ,69.0,69.45,66.5,66.5,66.5,70.0,210887,13-FEB-2020
REFEX,EQ,66.85,70.3,64.15,70.0,70.3,63.95,531523,12-FEB-2020
REFEX,EQ,57.6,63.95,53.55,63.95,63.95,58.15,437579,11-FEB-2020
REFEX,EQ,53.9,58.45,51.55,58.15,57.55,53.15,285536,10-FEB-2020
