SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
RKFORGE,EQ,177.55,187.95,162.7,171.45,169.7,179.55,123340,20-MAR-2020
RKFORGE,EQ,164.35,180.75,151.2,179.55,180.75,164.35,54896,19-MAR-2020
RKFORGE,EQ,187.0,189.7,164.35,164.35,164.35,182.6,66145,18-MAR-2020
RKFORGE,EQ,185.0,191.95,180.0,182.6,181.75,184.85,62875,17-MAR-2020
RKFORGE,EQ,204.15,204.15,181.0,184.85,185.0,208.4,97930,16-MAR-2020
RKFORGE,EQ,210.0,234.0,177.2,208.4,205.0,221.45,53828,13-MAR-2020
RKFORGE,EQ,256.0,258.75,212.8,221.45,226.1,266.0,80392,12-MAR-2020
RKFORGE,EQ,274.9,274.9,256.0,266.0,263.0,267.0,46382,11-MAR-2020
RKFORGE,EQ,270.0,277.0,250.8,267.0,269.0,270.6,42657,09-MAR-2020
RKFORGE,EQ,270.55,295.35,256.7,270.6,275.15,272.3,19865,06-MAR-2020
RKFORGE,EQ,275.0,279.4,268.2,272.3,276.55,273.85,21780,05-MAR-2020
RKFORGE,EQ,268.6,276.6,262.65,273.85,275.0,277.7,9762,04-MAR-2020
RKFORGE,EQ,265.1,283.55,265.1,277.7,274.0,271.1,33289,03-MAR-2020
RKFORGE,EQ,293.7,304.7,263.1,271.1,272.0,291.0,16799,02-MAR-2020
RKFORGE,EQ,311.3,319.25,287.15,291.0,293.7,326.6,21394,28-FEB-2020
RKFORGE,EQ,320.15,329.8,316.0,326.6,325.0,320.65,6343,27-FEB-2020
RKFORGE,EQ,326.35,328.0,315.6,320.65,320.15,328.7,26785,26-FEB-2020
RKFORGE,EQ,334.9,336.15,316.45,328.7,326.1,330.3,16184,25-FEB-2020
RKFORGE,EQ,352.2,352.2,328.3,330.3,331.0,342.1,8763,24-FEB-2020
RKFORGE,EQ,341.9,346.5,334.45,342.1,340.0,337.0,38747,20-FEB-2020
RKFORGE,EQ,339.7,346.0,330.0,337.0,337.95,334.95,9142,19-FEB-2020
RKFORGE,EQ,320.05,339.8,316.0,334.95,332.5,325.6,10359,18-FEB-2020
RKFORGE,EQ,326.65,333.65,324.5,325.6,328.0,325.3,20558,17-FEB-2020
RKFORGE,EQ,329.85,339.9,324.0,325.3,325.0,329.85,20875,14-FEB-2020
RKFORGE,EQ,335.0,339.9,328.05,329.85,331.9,342.5,17931,13-FEB-2020
RKFORGE,EQ,359.75,375.0,338.0,342.5,342.0,356.0,29283,12-FEB-2020
RKFORGE,EQ,365.7,365.7,356.0,356.0,356.0,356.05,2545,11-FEB-2020
RKFORGE,EQ,366.55,370.15,356.0,356.05,356.0,367.65,8640,10-FEB-2020
