SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ROSSELLIND,EQ,43.55,43.65,43.5,43.5,43.5,45.75,666,20-MAR-2020
ROSSELLIND,EQ,44.05,46.95,44.05,45.75,46.0,46.35,385,19-MAR-2020
ROSSELLIND,EQ,49.85,49.85,46.35,46.35,46.35,48.75,481,18-MAR-2020
ROSSELLIND,EQ,50.5,51.15,48.7,48.75,48.75,51.2,1457,17-MAR-2020
ROSSELLIND,EQ,51.35,55.95,51.2,51.2,51.2,53.85,2611,16-MAR-2020
ROSSELLIND,EQ,51.65,54.2,49.5,53.85,52.05,51.65,2140,13-MAR-2020
ROSSELLIND,EQ,51.6,51.9,51.6,51.65,51.65,54.25,4834,12-MAR-2020
ROSSELLIND,EQ,59.15,59.15,53.6,54.25,55.0,56.4,632,11-MAR-2020
ROSSELLIND,EQ,55.7,57.5,54.95,56.4,55.5,57.7,7314,09-MAR-2020
ROSSELLIND,EQ,55.6,58.95,55.55,57.7,58.95,58.45,3992,06-MAR-2020
ROSSELLIND,EQ,54.0,58.55,53.05,58.45,58.55,55.8,7985,05-MAR-2020
ROSSELLIND,EQ,54.2,57.6,53.85,55.8,57.6,56.6,5957,04-MAR-2020
ROSSELLIND,BE,54.05,56.6,54.05,56.6,56.6,54.05,1114,03-MAR-2020
ROSSELLIND,BE,51.8,56.9,51.8,54.05,56.0,54.4,3760,02-MAR-2020
ROSSELLIND,BE,56.2,58.0,54.15,54.4,54.25,57.0,1243,28-FEB-2020
ROSSELLIND,BE,56.55,58.75,56.55,57.0,58.75,59.35,1658,27-FEB-2020
ROSSELLIND,BE,62.9,62.9,57.2,59.35,59.45,60.2,14898,26-FEB-2020
ROSSELLIND,BE,58.1,60.6,57.1,60.2,60.0,58.1,394,25-FEB-2020
ROSSELLIND,BE,56.55,60.45,56.55,58.1,58.1,59.1,1102,24-FEB-2020
ROSSELLIND,BE,62.0,62.0,59.0,59.1,59.0,62.0,4928,20-FEB-2020
ROSSELLIND,BE,60.05,62.0,60.05,62.0,62.0,61.75,1269,19-FEB-2020
ROSSELLIND,BE,58.6,61.95,56.45,61.75,61.75,59.25,12781,18-FEB-2020
ROSSELLIND,BE,62.2,63.0,59.1,59.25,59.25,62.2,1246,17-FEB-2020
ROSSELLIND,BE,62.05,65.0,61.8,62.2,61.8,65.0,5534,14-FEB-2020
ROSSELLIND,BE,60.8,65.5,60.8,65.0,65.0,63.8,8245,13-FEB-2020
ROSSELLIND,BE,64.15,67.95,63.8,63.8,63.8,67.0,2251,12-FEB-2020
ROSSELLIND,BE,67.0,69.0,66.05,67.0,67.0,69.3,1411,11-FEB-2020
ROSSELLIND,BE,75.4,75.4,68.55,69.3,69.05,71.9,5304,10-FEB-2020
