SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
RPGLIFE,EQ,161.05,176.0,161.05,168.4,169.9,160.85,34398,20-MAR-2020
RPGLIFE,EQ,154.0,167.2,151.0,160.85,159.9,161.1,27643,19-MAR-2020
RPGLIFE,EQ,175.0,177.7,158.25,161.1,162.0,168.3,23216,18-MAR-2020
RPGLIFE,EQ,170.5,179.65,161.3,168.3,168.5,171.8,24104,17-MAR-2020
RPGLIFE,EQ,184.2,184.2,165.8,171.8,171.5,184.2,26177,16-MAR-2020
RPGLIFE,EQ,160.0,196.45,154.0,184.2,188.0,181.95,93740,13-MAR-2020
RPGLIFE,EQ,211.95,211.95,175.25,181.95,183.0,219.05,89968,12-MAR-2020
RPGLIFE,EQ,211.0,227.0,205.1,219.05,223.0,206.3,39600,11-MAR-2020
RPGLIFE,EQ,226.0,226.0,201.0,206.3,209.5,229.55,37374,09-MAR-2020
RPGLIFE,EQ,221.05,233.05,221.05,229.55,232.5,240.2,22255,06-MAR-2020
RPGLIFE,EQ,230.8,241.0,228.5,240.2,240.0,230.8,28428,05-MAR-2020
RPGLIFE,EQ,233.1,243.25,225.0,230.8,231.0,234.55,52471,04-MAR-2020
RPGLIFE,EQ,235.55,246.95,232.95,234.55,233.0,233.05,88926,03-MAR-2020
RPGLIFE,EQ,241.95,245.0,230.05,233.05,230.05,238.9,11218,02-MAR-2020
RPGLIFE,EQ,245.0,249.85,236.0,238.9,239.0,253.85,13594,28-FEB-2020
RPGLIFE,EQ,261.05,264.5,251.0,253.85,253.0,263.45,26499,27-FEB-2020
RPGLIFE,EQ,271.0,273.6,262.0,263.45,263.6,271.9,12666,26-FEB-2020
RPGLIFE,EQ,278.0,281.0,270.6,271.9,270.6,279.35,6212,25-FEB-2020
RPGLIFE,EQ,271.0,284.25,271.0,279.35,279.8,277.2,11654,24-FEB-2020
RPGLIFE,EQ,280.0,284.4,274.0,277.2,276.3,282.3,18982,20-FEB-2020
RPGLIFE,EQ,278.9,283.9,276.3,282.3,283.0,274.85,15918,19-FEB-2020
RPGLIFE,EQ,282.5,282.5,268.5,274.85,276.75,281.45,13797,18-FEB-2020
RPGLIFE,EQ,290.1,291.15,280.75,281.45,282.85,290.1,13814,17-FEB-2020
RPGLIFE,EQ,292.2,296.0,288.15,290.1,289.0,291.35,23575,14-FEB-2020
RPGLIFE,EQ,287.85,293.8,282.35,291.35,291.0,285.95,34577,13-FEB-2020
RPGLIFE,EQ,281.35,289.8,281.3,285.95,287.0,282.3,22530,12-FEB-2020
RPGLIFE,EQ,283.85,292.7,281.0,282.3,283.5,281.45,33463,11-FEB-2020
RPGLIFE,EQ,285.8,285.8,280.25,281.45,281.0,283.25,16286,10-FEB-2020
