SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
RSSOFTWARE,EQ,11.5,11.95,11.5,11.5,11.5,12.1,16727,20-MAR-2020
RSSOFTWARE,EQ,12.1,12.1,12.1,12.1,12.1,12.7,11190,19-MAR-2020
RSSOFTWARE,EQ,13.25,13.25,12.7,12.7,12.7,13.35,13572,18-MAR-2020
RSSOFTWARE,EQ,14.6,14.6,13.35,13.35,13.35,14.05,12088,17-MAR-2020
RSSOFTWARE,EQ,14.75,14.75,14.05,14.05,14.05,14.75,12911,16-MAR-2020
RSSOFTWARE,EQ,14.75,15.45,14.65,14.75,14.65,15.4,16056,13-MAR-2020
RSSOFTWARE,EQ,16.0,16.0,15.4,15.4,15.4,16.2,11243,12-MAR-2020
RSSOFTWARE,EQ,17.85,17.85,16.2,16.2,16.2,17.05,20336,11-MAR-2020
RSSOFTWARE,EQ,17.0,17.95,16.8,17.05,16.8,17.65,14464,09-MAR-2020
RSSOFTWARE,EQ,17.9,18.6,17.55,17.65,17.65,18.35,13880,06-MAR-2020
RSSOFTWARE,EQ,18.2,19.2,18.2,18.35,18.55,19.05,12752,05-MAR-2020
RSSOFTWARE,EQ,19.3,19.5,18.85,19.05,18.85,19.8,45676,04-MAR-2020
RSSOFTWARE,EQ,20.85,20.85,19.2,19.8,20.3,20.2,8077,03-MAR-2020
RSSOFTWARE,EQ,21.75,21.75,19.75,20.2,20.2,20.75,12152,02-MAR-2020
RSSOFTWARE,EQ,18.85,20.75,18.85,20.75,20.75,19.8,88419,28-FEB-2020
RSSOFTWARE,EQ,20.25,20.3,19.05,19.8,19.55,19.4,16114,27-FEB-2020
RSSOFTWARE,EQ,18.1,19.4,18.1,19.4,19.4,18.5,26968,26-FEB-2020
RSSOFTWARE,EQ,18.5,19.35,18.35,18.5,18.5,18.8,8581,25-FEB-2020
RSSOFTWARE,EQ,19.55,19.55,18.35,18.8,18.8,18.65,10244,24-FEB-2020
RSSOFTWARE,EQ,18.55,19.2,18.25,18.65,18.85,18.8,14175,20-FEB-2020
RSSOFTWARE,EQ,19.55,19.55,18.5,18.8,18.85,19.1,15602,19-FEB-2020
RSSOFTWARE,EQ,18.65,19.35,18.6,19.1,19.1,19.4,6370,18-FEB-2020
RSSOFTWARE,EQ,20.0,20.0,19.15,19.4,19.3,19.8,13911,17-FEB-2020
RSSOFTWARE,EQ,20.0,20.1,19.75,19.8,19.8,20.1,14007,14-FEB-2020
RSSOFTWARE,EQ,20.0,20.7,20.0,20.1,20.05,20.8,8191,13-FEB-2020
RSSOFTWARE,EQ,21.15,21.15,20.6,20.8,20.65,21.05,9468,12-FEB-2020
RSSOFTWARE,EQ,21.65,22.5,21.0,21.05,21.15,22.0,7506,11-FEB-2020
RSSOFTWARE,EQ,21.35,22.4,21.15,22.0,22.1,21.35,15197,10-FEB-2020
