SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
RTNPOWER,EQ,1.6,1.6,1.6,1.6,1.6,1.65,676452,20-MAR-2020
RTNPOWER,EQ,1.65,1.65,1.65,1.65,1.65,1.7,243216,19-MAR-2020
RTNPOWER,EQ,1.7,1.7,1.7,1.7,1.7,1.75,127611,18-MAR-2020
RTNPOWER,EQ,1.75,1.75,1.75,1.75,1.75,1.8,220892,17-MAR-2020
RTNPOWER,EQ,1.8,1.8,1.8,1.8,1.8,1.85,190222,16-MAR-2020
RTNPOWER,EQ,1.85,1.95,1.85,1.85,1.85,1.9,1983822,13-MAR-2020
RTNPOWER,EQ,1.95,1.95,1.9,1.9,1.9,2.0,443038,12-MAR-2020
RTNPOWER,EQ,1.9,2.0,1.9,2.0,1.95,1.95,2670010,11-MAR-2020
RTNPOWER,EQ,1.95,1.95,1.95,1.95,1.95,2.05,281146,09-MAR-2020
RTNPOWER,EQ,2.05,2.05,2.05,2.05,2.05,2.15,217941,06-MAR-2020
RTNPOWER,EQ,2.15,2.25,2.15,2.15,2.15,2.25,798424,05-MAR-2020
RTNPOWER,EQ,2.25,2.3,2.25,2.25,2.25,2.35,337933,04-MAR-2020
RTNPOWER,EQ,2.35,2.35,2.35,2.35,2.35,2.45,215269,03-MAR-2020
RTNPOWER,EQ,2.45,2.6,2.45,2.45,2.45,2.55,2509399,02-MAR-2020
RTNPOWER,EQ,2.55,2.55,2.55,2.55,2.55,2.65,191762,28-FEB-2020
RTNPOWER,EQ,2.65,2.65,2.65,2.65,2.65,2.75,176286,27-FEB-2020
RTNPOWER,EQ,2.75,2.75,2.75,2.75,2.75,2.85,626673,26-FEB-2020
RTNPOWER,EQ,3.05,3.05,2.85,2.85,2.85,2.95,3527165,25-FEB-2020
RTNPOWER,EQ,2.95,2.95,2.85,2.95,2.95,2.85,1632596,24-FEB-2020
RTNPOWER,EQ,2.85,2.85,2.85,2.85,2.85,2.75,2011451,20-FEB-2020
RTNPOWER,EQ,2.75,2.75,2.75,2.75,2.75,2.65,341037,19-FEB-2020
RTNPOWER,EQ,2.65,2.65,2.65,2.65,2.65,2.55,313052,18-FEB-2020
RTNPOWER,EQ,2.55,2.55,2.55,2.55,2.55,2.45,851107,17-FEB-2020
RTNPOWER,EQ,2.45,2.45,2.45,2.45,2.45,2.25,414385,14-FEB-2020
RTNPOWER,EQ,2.25,2.25,2.25,2.25,2.25,2.05,883476,13-FEB-2020
RTNPOWER,EQ,1.95,2.05,1.9,2.05,2.05,1.9,1293185,12-FEB-2020
RTNPOWER,EQ,1.9,2.0,1.8,1.9,1.95,1.9,1710759,11-FEB-2020
RTNPOWER,EQ,1.9,1.95,1.85,1.9,1.9,1.95,595422,10-FEB-2020
