SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
RUBYMILLS,EQ,130.05,135.0,125.4,127.75,131.0,130.05,1532,20-MAR-2020
RUBYMILLS,EQ,144.0,144.0,125.05,130.05,125.05,138.35,3117,19-MAR-2020
RUBYMILLS,EQ,149.0,149.0,131.0,138.35,136.1,145.15,2043,18-MAR-2020
RUBYMILLS,EQ,138.9,150.95,138.9,145.15,144.9,143.85,660,17-MAR-2020
RUBYMILLS,EQ,160.0,160.0,136.1,143.85,139.5,145.75,1926,16-MAR-2020
RUBYMILLS,EQ,125.15,150.0,124.4,145.75,149.95,138.2,5286,13-MAR-2020
RUBYMILLS,EQ,137.2,160.9,134.85,138.2,143.8,149.8,10117,12-MAR-2020
RUBYMILLS,EQ,173.8,173.8,148.0,149.8,148.0,159.35,3688,11-MAR-2020
RUBYMILLS,EQ,160.1,164.85,152.6,159.35,158.1,166.3,3283,09-MAR-2020
RUBYMILLS,EQ,172.0,172.0,163.25,166.3,169.55,176.5,12502,06-MAR-2020
RUBYMILLS,EQ,175.65,192.15,174.0,176.5,176.95,177.4,1317,05-MAR-2020
RUBYMILLS,EQ,176.3,183.9,176.3,177.4,177.1,178.05,516,04-MAR-2020
RUBYMILLS,EQ,180.0,185.5,176.55,178.05,180.0,179.4,804,03-MAR-2020
RUBYMILLS,EQ,188.7,188.7,176.0,179.4,176.0,178.3,1984,02-MAR-2020
RUBYMILLS,EQ,178.0,183.35,177.0,178.3,177.65,189.15,3000,28-FEB-2020
RUBYMILLS,EQ,188.0,192.9,180.15,189.15,186.0,188.4,1852,27-FEB-2020
RUBYMILLS,EQ,193.0,198.0,186.4,188.4,186.55,195.2,2294,26-FEB-2020
RUBYMILLS,EQ,195.0,203.7,195.0,195.2,195.0,196.55,389,25-FEB-2020
RUBYMILLS,EQ,200.8,202.9,195.0,196.55,199.4,200.8,3028,24-FEB-2020
RUBYMILLS,EQ,207.95,208.95,198.55,200.8,203.5,205.85,3065,20-FEB-2020
RUBYMILLS,EQ,208.0,209.0,196.55,205.85,205.5,204.05,1443,19-FEB-2020
RUBYMILLS,EQ,192.1,208.0,192.1,204.05,208.0,201.6,1231,18-FEB-2020
RUBYMILLS,EQ,211.05,213.85,198.05,201.6,204.5,209.05,3600,17-FEB-2020
RUBYMILLS,EQ,212.0,220.0,206.05,209.05,210.0,210.9,4837,14-FEB-2020
RUBYMILLS,EQ,205.8,212.9,205.75,210.9,210.0,205.45,3436,13-FEB-2020
RUBYMILLS,EQ,213.0,213.0,200.0,205.45,205.0,213.6,1607,12-FEB-2020
RUBYMILLS,EQ,221.95,222.0,205.1,213.6,210.6,205.85,4023,11-FEB-2020
RUBYMILLS,EQ,222.0,222.0,203.25,205.85,204.7,221.75,2718,10-FEB-2020
