SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
RUCHINFRA,BE,2.1,2.25,2.1,2.1,2.25,2.2,10921,20-MAR-2020
RUCHINFRA,BE,2.0,2.2,2.0,2.2,2.2,2.1,65344,19-MAR-2020
RUCHINFRA,BE,2.2,2.2,2.1,2.1,2.1,2.2,8961,18-MAR-2020
RUCHINFRA,BE,2.25,2.25,2.15,2.2,2.2,2.25,10099,17-MAR-2020
RUCHINFRA,BE,2.15,2.25,2.05,2.25,2.05,2.15,18717,16-MAR-2020
RUCHINFRA,BE,2.05,2.15,2.05,2.15,2.15,2.15,33460,13-MAR-2020
RUCHINFRA,BE,2.3,2.3,2.15,2.15,2.15,2.25,23296,12-MAR-2020
RUCHINFRA,BE,2.3,2.3,2.2,2.25,2.25,2.3,31735,11-MAR-2020
RUCHINFRA,BE,2.35,2.35,2.15,2.3,2.3,2.25,50437,09-MAR-2020
RUCHINFRA,BE,2.25,2.35,2.15,2.25,2.35,2.25,21669,06-MAR-2020
RUCHINFRA,BE,2.45,2.45,2.25,2.25,2.25,2.35,17365,05-MAR-2020
RUCHINFRA,BE,2.35,2.4,2.25,2.35,2.4,2.35,25000,04-MAR-2020
RUCHINFRA,BE,2.35,2.45,2.25,2.35,2.35,2.35,9097,03-MAR-2020
RUCHINFRA,BE,2.2,2.4,2.2,2.35,2.4,2.3,48213,02-MAR-2020
RUCHINFRA,BE,2.4,2.4,2.3,2.3,2.3,2.4,2838,28-FEB-2020
RUCHINFRA,BE,2.3,2.4,2.3,2.4,2.4,2.4,29034,27-FEB-2020
RUCHINFRA,BE,2.5,2.5,2.4,2.4,2.4,2.5,5515,26-FEB-2020
RUCHINFRA,BE,2.5,2.5,2.5,2.5,2.5,2.6,6208,25-FEB-2020
RUCHINFRA,BE,2.8,2.8,2.6,2.6,2.6,2.7,12306,24-FEB-2020
RUCHINFRA,BE,2.7,2.7,2.7,2.7,2.7,2.8,27807,20-FEB-2020
RUCHINFRA,BE,3.0,3.0,2.8,2.8,2.8,2.9,50561,19-FEB-2020
RUCHINFRA,BE,2.9,2.9,2.9,2.9,2.9,2.8,11834,18-FEB-2020
RUCHINFRA,BE,2.8,2.8,2.8,2.8,2.8,2.7,6651,17-FEB-2020
RUCHINFRA,BE,2.7,2.7,2.6,2.7,2.7,2.6,41860,14-FEB-2020
RUCHINFRA,BE,2.6,2.6,2.6,2.6,2.6,2.5,23537,13-FEB-2020
RUCHINFRA,BE,2.5,2.5,2.5,2.5,2.5,2.4,13938,12-FEB-2020
RUCHINFRA,BE,2.35,2.4,2.35,2.4,2.4,2.3,29942,11-FEB-2020
RUCHINFRA,BE,2.3,2.3,2.3,2.3,2.3,2.2,86155,10-FEB-2020
