SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
RUCHIRA,EQ,28.5,30.1,27.4,29.8,29.5,27.85,68442,20-MAR-2020
RUCHIRA,EQ,30.4,30.4,27.4,27.85,28.3,30.4,97651,19-MAR-2020
RUCHIRA,EQ,30.85,31.85,29.4,30.4,31.5,31.0,72487,18-MAR-2020
RUCHIRA,EQ,32.85,34.0,30.0,31.0,30.25,32.7,58628,17-MAR-2020
RUCHIRA,EQ,31.3,34.85,31.3,32.7,32.85,34.35,58681,16-MAR-2020
RUCHIRA,EQ,31.7,37.5,29.25,34.35,34.35,36.55,91722,13-MAR-2020
RUCHIRA,EQ,41.9,41.9,36.0,36.55,36.4,42.8,88827,12-MAR-2020
RUCHIRA,EQ,43.0,46.05,42.15,42.8,43.3,43.4,114649,11-MAR-2020
RUCHIRA,EQ,47.5,47.5,41.1,43.4,42.55,47.8,77328,09-MAR-2020
RUCHIRA,EQ,49.9,49.9,47.5,47.8,48.0,50.8,46195,06-MAR-2020
RUCHIRA,EQ,54.75,54.75,50.05,50.8,51.25,49.85,101522,05-MAR-2020
RUCHIRA,EQ,49.1,52.4,47.2,49.85,52.3,48.65,47952,04-MAR-2020
RUCHIRA,EQ,51.0,52.05,47.1,48.65,49.45,51.9,85557,03-MAR-2020
RUCHIRA,EQ,55.6,55.6,51.0,51.9,51.0,52.6,44188,02-MAR-2020
RUCHIRA,EQ,55.6,55.7,52.2,52.6,52.25,55.7,62658,28-FEB-2020
RUCHIRA,EQ,56.6,58.45,55.0,55.7,55.6,56.75,36926,27-FEB-2020
RUCHIRA,EQ,60.1,61.0,56.0,56.75,56.2,59.55,47137,26-FEB-2020
RUCHIRA,EQ,59.55,60.0,58.5,59.55,59.0,58.45,31188,25-FEB-2020
RUCHIRA,EQ,59.0,60.3,57.4,58.45,58.9,60.05,35626,24-FEB-2020
RUCHIRA,EQ,61.9,62.65,59.5,60.05,59.95,59.95,63907,20-FEB-2020
RUCHIRA,EQ,59.5,60.95,56.6,59.95,60.5,58.35,120855,19-FEB-2020
RUCHIRA,EQ,61.0,61.0,57.0,58.35,58.9,60.05,50552,18-FEB-2020
RUCHIRA,EQ,61.75,61.8,59.65,60.05,60.1,60.5,60770,17-FEB-2020
RUCHIRA,EQ,63.75,63.8,60.1,60.5,60.5,63.35,64550,14-FEB-2020
RUCHIRA,EQ,62.9,64.5,62.25,63.35,63.35,62.15,111795,13-FEB-2020
RUCHIRA,EQ,64.2,64.2,62.0,62.15,62.6,63.3,57476,12-FEB-2020
RUCHIRA,EQ,67.0,68.4,63.15,63.3,63.4,66.7,152949,11-FEB-2020
RUCHIRA,EQ,73.95,73.95,66.0,66.7,66.2,78.35,376473,10-FEB-2020
