SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SABEVENTS,EQ,0.45,0.45,0.45,0.45,0.45,0.45,6400,20-MAR-2020
SABEVENTS,EQ,0.45,0.45,0.45,0.45,0.45,0.45,10,09-MAR-2020
SABEVENTS,EQ,0.45,0.45,0.45,0.45,0.45,0.45,500,06-MAR-2020
SABEVENTS,EQ,0.45,0.45,0.45,0.45,0.45,0.45,1,04-MAR-2020
SABEVENTS,EQ,0.45,0.45,0.45,0.45,0.45,0.5,60,26-FEB-2020
SABEVENTS,EQ,0.5,0.5,0.5,0.5,0.5,0.55,60,25-FEB-2020
SABEVENTS,EQ,0.55,0.55,0.55,0.55,0.55,0.55,719,19-FEB-2020
SABEVENTS,EQ,0.55,0.55,0.55,0.55,0.55,0.6,922,17-FEB-2020
SABEVENTS,EQ,0.6,0.6,0.6,0.6,0.6,0.6,120,14-FEB-2020
SABEVENTS,EQ,0.6,0.6,0.6,0.6,0.6,0.6,25,11-FEB-2020
