SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SANDESH,EQ,437.0,501.9,407.1,469.65,450.0,436.45,884,20-MAR-2020
SANDESH,EQ,389.9,468.95,386.95,436.45,468.95,393.15,1942,19-MAR-2020
SANDESH,EQ,461.25,485.0,371.05,393.15,391.1,461.25,2956,18-MAR-2020
SANDESH,EQ,482.05,484.55,452.65,461.25,474.0,464.1,172,17-MAR-2020
SANDESH,EQ,460.1,479.0,440.0,464.1,462.0,468.9,763,16-MAR-2020
SANDESH,EQ,499.3,499.95,459.95,468.9,472.0,472.75,1513,13-MAR-2020
SANDESH,EQ,490.0,494.8,427.0,472.75,480.1,500.1,2713,12-MAR-2020
SANDESH,EQ,492.0,505.0,492.0,500.1,500.0,497.1,285,11-MAR-2020
SANDESH,EQ,541.0,541.0,450.1,497.1,490.0,554.45,2866,09-MAR-2020
SANDESH,EQ,550.0,562.05,550.0,554.45,560.45,564.0,694,06-MAR-2020
SANDESH,EQ,566.0,576.0,552.6,564.0,568.0,561.2,465,05-MAR-2020
SANDESH,EQ,562.1,572.4,550.05,561.2,560.05,560.0,1162,04-MAR-2020
SANDESH,EQ,554.05,573.95,549.0,560.0,550.15,552.15,187,03-MAR-2020
SANDESH,EQ,545.0,567.0,532.0,552.15,567.0,553.8,537,02-MAR-2020
SANDESH,EQ,551.05,563.0,548.05,553.8,562.5,570.9,706,28-FEB-2020
SANDESH,EQ,599.9,599.9,561.5,570.9,570.0,600.95,630,27-FEB-2020
SANDESH,EQ,594.0,647.5,592.75,600.95,598.25,587.5,507,26-FEB-2020
SANDESH,EQ,591.45,597.0,580.3,587.5,587.5,591.5,314,25-FEB-2020
SANDESH,EQ,588.0,607.0,584.0,591.5,584.0,594.3,381,24-FEB-2020
SANDESH,EQ,586.0,616.5,580.5,594.3,594.0,592.2,573,20-FEB-2020
SANDESH,EQ,595.15,609.0,590.0,592.2,592.5,595.9,393,19-FEB-2020
SANDESH,EQ,595.05,613.95,595.0,595.9,595.1,600.6,806,18-FEB-2020
SANDESH,EQ,620.05,637.95,600.1,600.6,600.1,617.35,925,17-FEB-2020
SANDESH,EQ,610.05,639.65,610.0,617.35,617.0,622.5,602,14-FEB-2020
SANDESH,EQ,615.0,623.9,613.2,622.5,622.0,610.55,161,13-FEB-2020
SANDESH,EQ,610.05,644.0,603.6,610.55,613.0,618.6,694,12-FEB-2020
SANDESH,EQ,619.0,643.65,615.1,618.6,616.55,625.25,202,11-FEB-2020
SANDESH,EQ,618.0,634.3,615.0,625.25,628.0,635.5,182,10-FEB-2020
