SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SANGHIIND,EQ,21.7,23.35,20.7,22.55,21.8,21.7,161238,20-MAR-2020
SANGHIIND,EQ,22.15,22.8,20.7,21.7,21.1,22.85,108647,19-MAR-2020
SANGHIIND,EQ,22.65,23.7,22.25,22.85,22.6,22.65,143690,18-MAR-2020
SANGHIIND,EQ,21.15,23.85,21.15,22.65,23.2,21.25,58398,17-MAR-2020
SANGHIIND,EQ,23.5,23.5,20.75,21.25,21.3,23.1,115864,16-MAR-2020
SANGHIIND,EQ,21.05,24.8,20.05,23.1,23.5,24.6,354164,13-MAR-2020
SANGHIIND,EQ,27.3,27.4,23.55,24.6,24.0,28.55,130828,12-MAR-2020
SANGHIIND,EQ,29.4,29.4,28.05,28.55,28.55,28.8,116357,11-MAR-2020
SANGHIIND,EQ,29.0,29.3,27.55,28.8,28.3,29.8,264380,09-MAR-2020
SANGHIIND,EQ,27.6,30.9,27.6,29.8,30.9,30.35,63220,06-MAR-2020
SANGHIIND,EQ,31.5,31.5,30.05,30.35,30.05,30.65,41533,05-MAR-2020
SANGHIIND,EQ,31.95,32.45,30.5,30.65,30.7,31.9,68953,04-MAR-2020
SANGHIIND,EQ,31.0,32.8,30.8,31.9,32.0,31.6,36272,03-MAR-2020
SANGHIIND,EQ,32.6,33.15,31.5,31.6,31.5,32.55,48325,02-MAR-2020
SANGHIIND,EQ,34.0,34.0,32.1,32.55,32.3,34.9,85249,28-FEB-2020
SANGHIIND,EQ,34.9,35.4,33.4,34.9,35.35,34.6,68883,27-FEB-2020
SANGHIIND,EQ,31.1,35.05,31.05,34.6,34.6,31.4,232115,26-FEB-2020
SANGHIIND,EQ,32.7,32.7,31.0,31.4,31.5,32.5,151704,25-FEB-2020
SANGHIIND,EQ,32.95,33.5,32.2,32.5,32.6,32.8,68583,24-FEB-2020
SANGHIIND,EQ,32.2,33.2,32.2,32.8,32.9,32.75,41093,20-FEB-2020
SANGHIIND,EQ,30.15,35.0,30.15,32.75,32.55,30.5,246705,19-FEB-2020
SANGHIIND,EQ,31.95,31.95,29.5,30.5,30.9,31.95,324877,18-FEB-2020
SANGHIIND,EQ,32.9,33.45,31.9,31.95,32.3,32.95,79792,17-FEB-2020
SANGHIIND,EQ,33.8,33.9,32.3,32.95,32.8,33.95,101765,14-FEB-2020
SANGHIIND,EQ,34.75,34.75,33.55,33.95,34.0,34.9,72660,13-FEB-2020
SANGHIIND,EQ,35.25,36.3,34.7,34.9,34.75,35.2,205935,12-FEB-2020
SANGHIIND,EQ,36.2,36.45,35.1,35.2,35.1,35.7,46534,11-FEB-2020
SANGHIIND,EQ,37.3,37.35,35.6,35.7,35.65,37.1,85571,10-FEB-2020
