SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SAREGAMA,EQ,228.6,240.05,221.6,234.35,239.85,235.7,7033,20-MAR-2020
SAREGAMA,EQ,203.1,239.9,203.1,235.7,239.4,228.65,9771,19-MAR-2020
SAREGAMA,EQ,226.0,240.45,218.0,228.65,225.7,226.1,12015,18-MAR-2020
SAREGAMA,EQ,237.5,245.95,222.2,226.1,225.0,235.5,20105,17-MAR-2020
SAREGAMA,EQ,246.55,255.0,232.25,235.5,239.8,275.6,28534,16-MAR-2020
SAREGAMA,EQ,242.0,338.0,230.0,275.6,278.0,281.85,45553,13-MAR-2020
SAREGAMA,EQ,298.0,302.8,275.25,281.85,283.5,304.4,6344,12-MAR-2020
SAREGAMA,EQ,306.95,314.95,301.0,304.4,301.0,308.55,9857,11-MAR-2020
SAREGAMA,EQ,318.0,324.4,306.0,308.55,306.0,326.8,9685,09-MAR-2020
SAREGAMA,EQ,332.8,333.35,315.1,326.8,325.1,337.5,5115,06-MAR-2020
SAREGAMA,EQ,353.5,353.55,332.95,337.5,340.0,346.1,6565,05-MAR-2020
SAREGAMA,EQ,343.2,350.5,336.0,346.1,339.0,347.0,19302,04-MAR-2020
SAREGAMA,EQ,345.0,361.75,342.0,347.0,345.0,351.1,7823,03-MAR-2020
SAREGAMA,EQ,345.05,353.0,343.55,351.1,348.2,343.5,3008,02-MAR-2020
SAREGAMA,EQ,360.0,360.0,338.05,343.5,347.6,366.6,7135,28-FEB-2020
SAREGAMA,EQ,367.0,371.05,349.95,366.6,366.0,369.0,8298,27-FEB-2020
SAREGAMA,EQ,369.1,377.7,359.95,369.0,367.0,372.15,5102,26-FEB-2020
SAREGAMA,EQ,374.05,378.45,369.05,372.15,369.1,374.05,2514,25-FEB-2020
SAREGAMA,EQ,380.0,382.9,372.0,374.05,375.0,383.5,6348,24-FEB-2020
SAREGAMA,EQ,395.3,395.3,382.0,383.5,385.25,397.65,7397,20-FEB-2020
SAREGAMA,EQ,388.1,405.0,384.1,397.65,388.5,393.95,5770,19-FEB-2020
SAREGAMA,EQ,411.95,411.95,390.2,393.95,392.4,404.25,2511,18-FEB-2020
SAREGAMA,EQ,401.0,410.0,375.0,404.25,409.95,401.35,8062,17-FEB-2020
SAREGAMA,EQ,413.95,413.95,400.1,401.35,402.0,410.05,1736,14-FEB-2020
SAREGAMA,EQ,393.7,412.0,385.05,410.05,405.0,402.4,16326,13-FEB-2020
SAREGAMA,EQ,395.85,405.0,395.0,402.4,404.8,400.5,8201,12-FEB-2020
SAREGAMA,EQ,395.05,404.0,395.05,400.5,403.25,401.3,6447,11-FEB-2020
SAREGAMA,EQ,395.0,414.9,395.0,401.3,401.05,396.15,7628,10-FEB-2020
