SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SARVESHWAR,SM,10.25,10.5,10.1,10.2,10.2,10.55,8000,20-MAR-2020
SARVESHWAR,SM,10.6,10.6,10.55,10.55,10.55,11.1,4800,18-MAR-2020
SARVESHWAR,SM,11.1,11.1,11.1,11.1,11.1,10.6,1600,17-MAR-2020
SARVESHWAR,SM,10.35,10.8,10.35,10.6,10.6,10.85,8000,16-MAR-2020
SARVESHWAR,SM,10.85,10.85,10.85,10.85,10.85,10.35,3200,13-MAR-2020
SARVESHWAR,SM,10.35,10.35,10.35,10.35,10.35,10.85,6400,12-MAR-2020
SARVESHWAR,SM,10.85,10.85,10.85,10.85,10.85,11.4,1600,11-MAR-2020
SARVESHWAR,SM,11.8,11.8,11.4,11.4,11.4,12.0,9600,09-MAR-2020
SARVESHWAR,SM,12.0,12.0,12.0,12.0,12.0,12.0,3200,04-MAR-2020
SARVESHWAR,SM,11.9,12.0,11.9,12.0,12.0,11.9,4800,03-MAR-2020
SARVESHWAR,SM,12.4,12.4,11.9,11.9,11.9,12.4,4800,02-MAR-2020
SARVESHWAR,SM,12.4,12.4,12.4,12.4,12.4,12.4,4800,28-FEB-2020
SARVESHWAR,SM,12.4,12.4,12.4,12.4,12.4,12.55,1600,26-FEB-2020
SARVESHWAR,SM,12.55,12.55,12.55,12.55,12.55,12.5,1600,25-FEB-2020
SARVESHWAR,SM,13.0,13.0,12.4,12.5,12.5,13.0,9600,24-FEB-2020
SARVESHWAR,SM,13.0,13.35,13.0,13.0,13.0,13.65,16000,20-FEB-2020
SARVESHWAR,SM,13.65,13.65,13.3,13.65,13.65,14.0,17600,19-FEB-2020
SARVESHWAR,SM,14.0,14.0,13.8,14.0,14.0,14.5,22400,18-FEB-2020
SARVESHWAR,SM,15.0,15.0,14.5,14.5,14.5,15.0,3200,14-FEB-2020
SARVESHWAR,SM,15.1,15.1,13.7,15.0,15.0,14.4,6400,13-FEB-2020
SARVESHWAR,SM,14.4,14.4,14.4,14.4,14.4,14.45,1600,11-FEB-2020
SARVESHWAR,SM,14.45,14.45,14.4,14.45,14.4,15.0,4800,10-FEB-2020
