SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SASKEN,EQ,389.95,404.65,366.35,396.7,397.95,371.6,27037,20-MAR-2020
SASKEN,EQ,388.0,406.1,335.15,371.6,369.05,407.1,21889,19-MAR-2020
SASKEN,EQ,444.0,445.0,401.0,407.1,403.75,446.85,16891,18-MAR-2020
SASKEN,EQ,480.0,485.0,440.0,446.85,444.0,517.05,25624,17-MAR-2020
SASKEN,EQ,549.0,549.9,510.5,517.05,524.9,544.65,40763,16-MAR-2020
SASKEN,EQ,520.0,558.9,423.45,544.65,547.0,529.3,27992,13-MAR-2020
SASKEN,EQ,546.05,546.05,527.3,529.3,529.5,563.3,36025,12-MAR-2020
SASKEN,EQ,550.0,594.7,543.0,563.3,560.0,530.95,34320,11-MAR-2020
SASKEN,EQ,579.0,579.0,500.0,530.95,527.0,552.4,55109,09-MAR-2020
SASKEN,EQ,572.0,577.0,548.0,552.4,550.05,577.8,6336,06-MAR-2020
SASKEN,EQ,579.0,586.0,570.0,577.8,574.2,585.0,6381,05-MAR-2020
SASKEN,EQ,587.75,588.0,567.0,585.0,587.0,577.3,7147,04-MAR-2020
SASKEN,EQ,586.95,589.95,570.0,577.3,580.0,567.4,4063,03-MAR-2020
SASKEN,EQ,540.0,588.95,536.05,567.4,565.0,540.25,9620,02-MAR-2020
SASKEN,EQ,555.0,555.0,535.0,540.25,550.0,553.05,4516,28-FEB-2020
SASKEN,EQ,545.0,569.0,544.5,553.05,561.1,551.85,6365,27-FEB-2020
SASKEN,EQ,561.95,567.0,545.5,551.85,550.0,567.25,4566,26-FEB-2020
SASKEN,EQ,573.2,583.2,564.95,567.25,571.35,573.05,3956,25-FEB-2020
SASKEN,EQ,580.0,592.35,566.05,573.05,572.0,578.0,7051,24-FEB-2020
SASKEN,EQ,571.45,594.95,571.45,578.0,578.0,574.85,12436,20-FEB-2020
SASKEN,EQ,581.3,595.45,564.2,574.85,575.0,577.8,4812,19-FEB-2020
SASKEN,EQ,581.15,584.2,575.3,577.8,577.9,581.15,2526,18-FEB-2020
SASKEN,EQ,575.05,589.95,575.05,581.15,580.0,579.7,5242,17-FEB-2020
SASKEN,EQ,581.55,592.75,575.2,579.7,575.55,585.45,2361,14-FEB-2020
SASKEN,EQ,594.6,594.7,582.0,585.45,584.0,586.0,2695,13-FEB-2020
SASKEN,EQ,591.0,599.9,581.5,586.0,589.3,589.55,3212,12-FEB-2020
SASKEN,EQ,595.25,600.8,587.6,589.55,590.25,594.9,2501,11-FEB-2020
SASKEN,EQ,600.3,603.95,591.0,594.9,597.0,600.3,2078,10-FEB-2020
