SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SESHAPAPER,EQ,94.35,102.6,94.05,99.7,99.5,94.5,23801,20-MAR-2020
SESHAPAPER,EQ,88.0,96.95,88.0,94.5,92.55,101.5,33410,19-MAR-2020
SESHAPAPER,EQ,108.0,114.4,90.95,101.5,101.05,109.15,36719,18-MAR-2020
SESHAPAPER,EQ,113.2,119.95,105.1,109.15,108.55,117.0,12028,17-MAR-2020
SESHAPAPER,EQ,126.25,126.95,115.65,117.0,117.9,126.25,7480,16-MAR-2020
SESHAPAPER,EQ,101.0,127.45,90.5,126.25,127.4,110.3,37313,13-MAR-2020
SESHAPAPER,EQ,115.0,117.05,109.05,110.3,110.0,125.6,34713,12-MAR-2020
SESHAPAPER,EQ,130.0,130.0,122.25,125.6,126.0,124.7,48094,11-MAR-2020
SESHAPAPER,EQ,130.0,130.0,122.0,124.7,122.1,133.35,17041,09-MAR-2020
SESHAPAPER,EQ,123.0,135.0,123.0,133.35,133.0,134.5,12197,06-MAR-2020
SESHAPAPER,EQ,139.45,139.8,132.15,134.5,134.5,134.9,12261,05-MAR-2020
SESHAPAPER,EQ,139.0,139.0,132.5,134.9,134.0,139.4,10153,04-MAR-2020
SESHAPAPER,EQ,142.45,143.9,137.5,139.4,138.75,142.45,15222,03-MAR-2020
SESHAPAPER,EQ,140.0,149.0,140.0,142.45,141.0,139.45,11200,02-MAR-2020
SESHAPAPER,EQ,143.9,143.9,137.05,139.45,141.0,145.6,20789,28-FEB-2020
SESHAPAPER,EQ,148.9,149.65,144.85,145.6,145.5,148.25,14340,27-FEB-2020
SESHAPAPER,EQ,151.0,151.0,148.0,148.25,148.0,150.1,7506,26-FEB-2020
SESHAPAPER,EQ,151.6,152.65,149.4,150.1,149.5,151.75,10799,25-FEB-2020
SESHAPAPER,EQ,158.0,158.3,151.2,151.75,152.5,158.25,8042,24-FEB-2020
SESHAPAPER,EQ,161.1,164.8,157.2,158.25,157.5,156.5,32955,20-FEB-2020
SESHAPAPER,EQ,149.0,158.0,149.0,156.5,157.7,150.9,14632,19-FEB-2020
SESHAPAPER,EQ,151.6,153.7,150.5,150.9,150.5,151.15,8227,18-FEB-2020
SESHAPAPER,EQ,154.0,154.0,150.0,151.15,151.0,153.15,10415,17-FEB-2020
SESHAPAPER,EQ,160.7,160.7,152.25,153.15,152.4,159.15,12592,14-FEB-2020
SESHAPAPER,EQ,155.7,162.0,155.0,159.15,159.55,154.75,27595,13-FEB-2020
SESHAPAPER,EQ,157.95,158.85,152.25,154.75,154.7,156.4,8676,12-FEB-2020
SESHAPAPER,EQ,156.05,160.65,156.05,156.4,157.3,157.25,3929,11-FEB-2020
SESHAPAPER,EQ,162.2,162.2,155.65,157.25,158.4,160.8,9210,10-FEB-2020
