SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SEYAIND,EQ,55.55,55.55,55.55,55.55,55.55,58.45,4175,20-MAR-2020
SEYAIND,EQ,58.65,61.5,58.45,58.45,58.45,61.5,3734,19-MAR-2020
SEYAIND,EQ,62.0,64.95,59.6,61.5,61.8,62.6,4355,18-MAR-2020
SEYAIND,EQ,66.4,66.5,61.75,62.6,64.0,64.15,3979,17-MAR-2020
SEYAIND,EQ,64.75,68.0,63.05,64.15,66.45,64.8,3097,16-MAR-2020
SEYAIND,EQ,66.4,68.0,63.1,64.8,64.75,66.4,4060,13-MAR-2020
SEYAIND,EQ,67.0,67.0,66.4,66.4,66.4,69.85,4210,12-MAR-2020
SEYAIND,EQ,65.9,70.9,65.9,69.85,70.0,68.95,1237,11-MAR-2020
SEYAIND,EQ,71.0,72.9,66.5,68.95,69.0,69.95,8909,09-MAR-2020
SEYAIND,EQ,68.05,74.75,68.0,69.95,70.0,71.45,6804,06-MAR-2020
SEYAIND,EQ,70.95,71.5,69.05,71.45,71.5,68.1,2994,05-MAR-2020
SEYAIND,EQ,71.75,73.0,67.15,68.1,69.0,70.6,4860,04-MAR-2020
SEYAIND,EQ,71.0,73.95,70.0,70.6,70.1,72.2,4589,03-MAR-2020
SEYAIND,EQ,72.85,74.45,70.1,72.2,71.5,72.95,2522,02-MAR-2020
SEYAIND,EQ,73.05,80.0,72.85,72.95,72.85,76.65,8194,28-FEB-2020
SEYAIND,EQ,75.45,78.4,74.95,76.65,78.4,78.85,8416,27-FEB-2020
SEYAIND,EQ,80.0,80.0,75.4,78.85,78.8,79.35,6084,26-FEB-2020
SEYAIND,EQ,77.2,80.0,77.2,79.35,79.5,77.9,5003,25-FEB-2020
SEYAIND,EQ,81.0,81.0,77.1,77.9,77.9,81.15,9636,24-FEB-2020
SEYAIND,EQ,80.55,85.85,79.85,81.15,80.25,84.05,36651,20-FEB-2020
SEYAIND,EQ,84.05,91.6,84.05,84.05,84.05,88.45,28415,19-FEB-2020
SEYAIND,EQ,88.45,88.45,88.45,88.45,88.45,93.1,1727,18-FEB-2020
SEYAIND,EQ,93.1,93.1,93.1,93.1,93.1,97.95,2147,17-FEB-2020
SEYAIND,EQ,96.0,99.0,96.0,97.95,98.0,95.6,9977,14-FEB-2020
SEYAIND,EQ,97.1,97.1,95.0,95.6,95.75,97.0,5240,13-FEB-2020
SEYAIND,EQ,101.0,101.0,95.1,97.0,97.3,96.4,6100,12-FEB-2020
SEYAIND,EQ,101.15,104.0,96.15,96.4,96.15,101.2,21457,11-FEB-2020
SEYAIND,EQ,99.95,103.8,96.55,101.2,99.55,98.95,5517,10-FEB-2020
