SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SGBJ28VIII,GB,3730.0,3730.0,3730.0,3730.0,3730.0,3800.0,2,20-MAR-2020
SGBJ28VIII,GB,3600.0,3800.0,3425.1,3800.0,3800.0,3790.0,34,19-MAR-2020
SGBJ28VIII,GB,4098.0,4098.0,3790.0,3790.0,3790.0,3820.0,14,18-MAR-2020
SGBJ28VIII,GB,3800.0,3820.0,3780.0,3820.0,3820.0,3818.91,53,17-MAR-2020
SGBJ28VIII,GB,3820.0,3851.0,3808.05,3818.91,3820.0,3807.42,43,16-MAR-2020
SGBJ28VIII,GB,3721.0,3900.0,3721.0,3807.42,3825.0,4013.6,122,13-MAR-2020
SGBJ28VIII,GB,4041.0,4125.0,4000.0,4013.6,4000.0,4041.0,114,12-MAR-2020
SGBJ28VIII,GB,4051.1,4051.1,4022.0,4041.0,4041.0,4000.0,47,11-MAR-2020
SGBJ28VIII,GB,4080.0,4080.0,4000.0,4000.0,4000.0,4100.0,63,09-MAR-2020
SGBJ28VIII,GB,4050.05,4100.0,4050.0,4100.0,4100.0,4020.01,13,06-MAR-2020
SGBJ28VIII,GB,3981.1,4020.01,3981.1,4020.01,4020.01,4077.0,19,05-MAR-2020
SGBJ28VIII,GB,4076.0,4077.0,4076.0,4077.0,4077.0,4077.0,4,04-MAR-2020
SGBJ28VIII,GB,4021.1,4077.0,4021.1,4077.0,4077.0,4021.0,10,03-MAR-2020
SGBJ28VIII,GB,4095.0,4095.0,4021.0,4021.0,4021.0,4020.0,6,02-MAR-2020
SGBJ28VIII,GB,3731.0,4020.0,3731.0,4020.0,4020.0,3970.0,27,28-FEB-2020
SGBJ28VIII,GB,3715.0,3970.0,3715.0,3970.0,3970.0,3970.0,11,27-FEB-2020
SGBJ28VIII,GB,4015.0,4015.0,3970.0,3970.0,3970.0,4015.0,13,25-FEB-2020
SGBJ28VIII,GB,4000.0,4020.0,3999.0,4015.0,4015.0,3965.0,77,24-FEB-2020
SGBJ28VIII,GB,3966.0,3966.0,3965.0,3965.0,3965.0,3966.0,16,20-FEB-2020
SGBJ28VIII,GB,4015.0,4015.0,3966.0,3966.0,3966.0,4000.0,2,19-FEB-2020
SGBJ28VIII,GB,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,1,18-FEB-2020
SGBJ28VIII,GB,3857.0,4000.0,3857.0,4000.0,4000.0,3857.0,2,17-FEB-2020
SGBJ28VIII,GB,3860.0,3860.0,3857.0,3857.0,3857.0,3900.0,4,14-FEB-2020
SGBJ28VIII,GB,3853.01,3950.0,3853.01,3900.0,3900.0,3930.0,10,13-FEB-2020
SGBJ28VIII,GB,3949.0,3949.0,3860.0,3930.0,3930.0,3860.1,7,12-FEB-2020
SGBJ28VIII,GB,4019.0,4019.0,3855.03,3860.1,3860.1,3940.0,11,11-FEB-2020
SGBJ28VIII,GB,3940.0,3940.0,3940.0,3940.0,3940.0,3950.0,4,10-FEB-2020
