SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SGBJUL25,GB,3800.0,3800.0,3700.0,3750.0,3750.0,3707.22,57,20-MAR-2020
SGBJUL25,GB,3680.1,3710.0,3650.0,3707.22,3705.0,3750.0,232,19-MAR-2020
SGBJUL25,GB,3751.0,3770.0,3750.0,3750.0,3750.0,3756.8,291,18-MAR-2020
SGBJUL25,GB,3779.0,3780.0,3750.0,3756.8,3751.0,3780.0,188,17-MAR-2020
SGBJUL25,GB,3765.0,3801.0,3760.0,3780.0,3780.0,3827.0,180,16-MAR-2020
SGBJUL25,GB,3750.0,3835.0,3705.0,3827.0,3825.0,3953.35,688,13-MAR-2020
SGBJUL25,GB,3955.0,4026.0,3951.0,3953.35,3951.0,4016.8,199,12-MAR-2020
SGBJUL25,GB,4080.0,4080.0,4011.0,4016.8,4040.0,4051.16,237,11-MAR-2020
SGBJUL25,GB,4062.0,4099.0,4050.0,4051.16,4051.0,4069.01,540,09-MAR-2020
SGBJUL25,GB,4050.0,4090.0,4050.0,4069.01,4062.0,3995.48,463,06-MAR-2020
SGBJUL25,GB,3955.05,4005.0,3955.05,3995.48,3991.0,4006.36,438,05-MAR-2020
SGBJUL25,GB,3949.0,4025.0,3949.0,4006.36,4000.0,3929.73,363,04-MAR-2020
SGBJUL25,GB,3945.0,3945.0,3914.0,3929.73,3935.0,3923.0,273,03-MAR-2020
SGBJUL25,GB,3930.0,3945.0,3906.0,3923.0,3924.0,3960.0,170,02-MAR-2020
SGBJUL25,GB,3958.0,4000.0,3951.0,3960.0,3960.0,3958.0,180,28-FEB-2020
SGBJUL25,GB,3960.0,3970.0,3950.0,3958.0,3950.0,3952.0,325,27-FEB-2020
SGBJUL25,GB,3956.0,3960.0,3921.0,3952.0,3952.0,3956.0,1273,26-FEB-2020
SGBJUL25,GB,3950.0,3960.0,3901.0,3956.0,3955.0,3979.5,699,25-FEB-2020
SGBJUL25,GB,3900.0,3993.0,3900.0,3979.5,3990.0,3875.0,742,24-FEB-2020
SGBJUL25,GB,3860.0,3880.0,3856.0,3875.0,3875.0,3849.9,357,20-FEB-2020
SGBJUL25,GB,3855.0,3865.0,3849.9,3849.9,3849.9,3830.09,102,19-FEB-2020
SGBJUL25,GB,3838.0,3849.9,3830.0,3830.09,3830.0,3838.0,265,18-FEB-2020
SGBJUL25,GB,3838.0,3838.0,3838.0,3838.0,3838.0,3811.0,23,17-FEB-2020
SGBJUL25,GB,3837.9,3837.9,3805.0,3811.0,3811.0,3837.5,438,14-FEB-2020
SGBJUL25,GB,3831.0,3837.9,3811.0,3837.5,3837.5,3825.01,95,13-FEB-2020
SGBJUL25,GB,3798.0,3835.0,3798.0,3825.01,3825.0,3799.5,623,12-FEB-2020
SGBJUL25,GB,3800.0,3800.05,3795.0,3799.5,3800.0,3815.0,215,11-FEB-2020
SGBJUL25,GB,3794.54,3838.0,3738.0,3815.0,3815.0,3794.54,105,10-FEB-2020
