SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SGBNOV25,GB,3937.0,3937.0,3636.0,3701.0,3701.0,3930.0,3,18-MAR-2020
SGBNOV25,GB,3930.0,3930.0,3930.0,3930.0,3930.0,3915.0,1,12-MAR-2020
SGBNOV25,GB,4100.0,4100.0,3915.0,3915.0,3915.0,4100.0,6,09-MAR-2020
SGBNOV25,GB,4100.0,4100.0,4100.0,4100.0,4100.0,4045.0,1,06-MAR-2020
SGBNOV25,GB,4045.0,4045.0,4045.0,4045.0,4045.0,4000.0,9,05-MAR-2020
SGBNOV25,GB,3701.0,4000.0,3701.0,4000.0,4000.0,3990.0,9,04-MAR-2020
SGBNOV25,GB,3990.0,3990.0,3990.0,3990.0,3990.0,3995.0,1,03-MAR-2020
SGBNOV25,GB,3995.0,3995.0,3995.0,3995.0,3995.0,3860.0,1,27-FEB-2020
SGBNOV25,GB,3900.0,3900.0,3860.0,3860.0,3860.0,3865.0,6,25-FEB-2020
SGBNOV25,GB,3865.0,3865.0,3865.0,3865.0,3865.0,3875.0,1,18-FEB-2020
SGBNOV25,GB,3800.0,3875.0,3800.0,3875.0,3875.0,3800.0,19,13-FEB-2020
SGBNOV25,GB,3800.0,3800.0,3800.0,3800.0,3800.0,3755.0,1,12-FEB-2020
SGBNOV25,GB,3755.0,3755.0,3755.0,3755.0,3755.0,3750.0,1,11-FEB-2020
