SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SGBOCT25,GB,4000.0,4000.0,3671.0,3720.0,3720.0,3700.0,12,20-MAR-2020
SGBOCT25,GB,3870.0,4000.0,3700.0,3700.0,3700.0,3702.0,172,19-MAR-2020
SGBOCT25,GB,3850.0,3850.0,3701.0,3702.0,3702.0,3825.0,56,18-MAR-2020
SGBOCT25,GB,3800.0,3825.0,3800.0,3825.0,3825.0,3850.0,39,17-MAR-2020
SGBOCT25,GB,3900.0,3900.0,3850.0,3850.0,3850.0,3900.0,15,16-MAR-2020
SGBOCT25,GB,3951.0,4000.0,3600.0,3900.0,3900.0,3989.57,46,13-MAR-2020
SGBOCT25,GB,4140.0,4140.0,3952.25,3989.57,3952.25,4140.0,26,12-MAR-2020
SGBOCT25,GB,4140.0,4140.0,4140.0,4140.0,4140.0,4101.0,2,11-MAR-2020
SGBOCT25,GB,4150.0,4200.0,4065.0,4101.0,4101.0,4051.0,100,09-MAR-2020
SGBOCT25,GB,4050.0,4051.0,4050.0,4051.0,4051.0,3991.0,11,06-MAR-2020
SGBOCT25,GB,4050.0,4050.0,3991.0,3991.0,3991.0,4021.0,28,05-MAR-2020
SGBOCT25,GB,4050.0,4099.0,4021.0,4021.0,4021.0,3990.0,32,04-MAR-2020
SGBOCT25,GB,3876.0,4020.0,3876.0,3990.0,3990.0,4045.0,15,03-MAR-2020
SGBOCT25,GB,4045.0,4045.0,4045.0,4045.0,4045.0,4050.0,3,28-FEB-2020
SGBOCT25,GB,3980.0,4100.0,3950.0,4050.0,4050.0,3989.0,91,26-FEB-2020
SGBOCT25,GB,3995.0,3995.0,3950.0,3989.0,3989.0,3950.0,27,25-FEB-2020
SGBOCT25,GB,3825.0,3995.0,3825.0,3950.0,3950.0,3825.0,124,24-FEB-2020
SGBOCT25,GB,3925.0,3925.0,3825.0,3825.0,3825.0,3925.0,5,20-FEB-2020
SGBOCT25,GB,3850.0,3925.0,3850.0,3925.0,3925.0,3830.0,3,19-FEB-2020
SGBOCT25,GB,3940.0,3940.0,3830.0,3830.0,3830.0,3890.0,3,18-FEB-2020
SGBOCT25,GB,3800.0,3890.0,3800.0,3890.0,3890.0,3830.0,3,17-FEB-2020
SGBOCT25,GB,3830.0,3830.0,3830.0,3830.0,3830.0,3835.0,3,14-FEB-2020
SGBOCT25,GB,3925.0,3925.0,3830.0,3835.0,3830.0,3870.0,5,13-FEB-2020
SGBOCT25,GB,3870.0,3870.0,3870.0,3870.0,3870.0,3867.0,10,12-FEB-2020
