SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SHARDAMOTR,EQ,559.95,656.55,520.0,656.35,656.55,547.15,7541,20-MAR-2020
SHARDAMOTR,EQ,540.0,575.0,483.0,547.15,565.0,565.25,13907,19-MAR-2020
SHARDAMOTR,EQ,728.05,753.4,562.25,565.25,562.25,702.8,9995,18-MAR-2020
SHARDAMOTR,EQ,623.6,780.0,623.6,702.8,702.0,654.6,6398,17-MAR-2020
SHARDAMOTR,EQ,709.0,784.1,605.1,654.6,636.8,719.4,5597,16-MAR-2020
SHARDAMOTR,EQ,599.0,719.45,480.0,719.4,719.45,599.55,10963,13-MAR-2020
SHARDAMOTR,EQ,730.0,730.0,586.15,599.55,596.6,727.95,9317,12-MAR-2020
SHARDAMOTR,EQ,769.5,769.5,719.45,727.95,730.0,726.7,1983,11-MAR-2020
SHARDAMOTR,EQ,784.0,799.7,705.6,726.7,725.0,771.9,3036,09-MAR-2020
SHARDAMOTR,EQ,800.0,800.0,760.4,771.9,788.0,808.65,1669,06-MAR-2020
SHARDAMOTR,EQ,803.95,816.05,790.0,808.65,808.5,818.2,1270,05-MAR-2020
SHARDAMOTR,EQ,809.0,849.0,796.0,818.2,804.0,816.9,690,04-MAR-2020
SHARDAMOTR,EQ,811.0,828.8,803.4,816.9,816.0,814.1,608,03-MAR-2020
SHARDAMOTR,EQ,858.6,869.35,801.0,814.1,811.0,858.6,2001,02-MAR-2020
SHARDAMOTR,EQ,855.0,879.0,840.4,858.6,850.0,869.0,4886,28-FEB-2020
SHARDAMOTR,EQ,840.15,884.0,836.0,869.0,884.0,852.85,1915,27-FEB-2020
SHARDAMOTR,EQ,872.0,873.0,849.8,852.85,850.05,882.2,1310,26-FEB-2020
SHARDAMOTR,EQ,879.45,909.95,852.7,882.2,875.0,879.45,3449,25-FEB-2020
SHARDAMOTR,EQ,900.0,935.1,872.0,879.45,873.1,887.15,3860,24-FEB-2020
SHARDAMOTR,EQ,865.0,910.0,865.0,887.15,876.0,877.05,882,20-FEB-2020
SHARDAMOTR,EQ,898.0,900.0,871.6,877.05,877.2,897.95,703,19-FEB-2020
SHARDAMOTR,EQ,867.8,906.15,867.8,897.95,900.0,880.15,1018,18-FEB-2020
SHARDAMOTR,EQ,902.5,902.5,880.0,880.15,880.0,905.15,1253,17-FEB-2020
SHARDAMOTR,EQ,910.0,926.0,900.05,905.15,900.05,919.9,804,14-FEB-2020
SHARDAMOTR,EQ,929.9,935.0,910.0,919.9,925.0,921.25,942,13-FEB-2020
SHARDAMOTR,EQ,950.05,955.0,912.0,921.25,915.0,938.45,1313,12-FEB-2020
SHARDAMOTR,EQ,940.0,950.25,935.0,938.45,937.25,953.85,933,11-FEB-2020
SHARDAMOTR,EQ,955.0,955.6,936.0,953.85,955.0,947.55,950,10-FEB-2020
