SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SHIVATEX,EQ,56.0,64.4,53.4,61.05,58.3,54.65,1096,20-MAR-2020
SHIVATEX,EQ,58.45,58.45,52.0,54.65,56.95,56.65,1120,19-MAR-2020
SHIVATEX,EQ,56.0,61.6,51.35,56.65,56.6,56.8,2314,18-MAR-2020
SHIVATEX,EQ,59.0,63.7,52.0,56.8,52.0,60.6,1064,17-MAR-2020
SHIVATEX,EQ,65.0,66.0,58.2,60.6,58.2,68.25,1811,16-MAR-2020
SHIVATEX,EQ,66.0,72.9,53.05,68.25,70.0,66.0,4026,13-MAR-2020
SHIVATEX,EQ,75.0,75.0,64.05,66.0,66.0,75.0,1079,12-MAR-2020
SHIVATEX,EQ,77.0,79.5,70.7,75.0,75.0,72.8,3124,11-MAR-2020
SHIVATEX,EQ,69.1,74.1,69.1,72.8,71.05,73.75,452,09-MAR-2020
SHIVATEX,EQ,73.0,78.0,68.0,73.75,78.0,74.0,10663,06-MAR-2020
SHIVATEX,EQ,73.05,76.0,73.05,74.0,74.0,73.8,1239,05-MAR-2020
SHIVATEX,EQ,75.7,78.95,73.0,73.8,73.15,76.95,1029,04-MAR-2020
SHIVATEX,EQ,77.6,81.0,75.1,76.95,76.1,79.85,1182,03-MAR-2020
SHIVATEX,EQ,85.0,85.0,72.45,79.85,81.0,79.3,2984,02-MAR-2020
SHIVATEX,EQ,81.05,83.45,75.6,79.3,77.25,82.75,962,28-FEB-2020
SHIVATEX,EQ,81.0,84.0,79.0,82.75,83.5,83.35,1145,27-FEB-2020
SHIVATEX,EQ,85.5,87.8,81.0,83.35,83.3,85.0,322,26-FEB-2020
SHIVATEX,EQ,85.3,89.2,83.05,85.0,85.05,87.35,814,25-FEB-2020
SHIVATEX,EQ,88.25,91.85,86.6,87.35,88.35,90.2,766,24-FEB-2020
SHIVATEX,EQ,87.7,91.9,86.05,90.2,91.9,87.7,3875,20-FEB-2020
SHIVATEX,EQ,91.15,91.15,85.2,87.7,90.0,90.0,1757,19-FEB-2020
SHIVATEX,EQ,89.0,90.3,87.4,90.0,90.3,89.0,264,18-FEB-2020
SHIVATEX,EQ,94.5,96.8,84.8,89.0,89.0,93.05,2856,17-FEB-2020
SHIVATEX,EQ,92.1,94.5,90.2,93.05,93.0,93.2,495,14-FEB-2020
SHIVATEX,EQ,92.0,96.0,92.0,93.2,93.2,89.25,2877,13-FEB-2020
SHIVATEX,EQ,93.9,93.9,88.05,89.25,88.15,92.15,892,12-FEB-2020
SHIVATEX,EQ,92.0,93.9,91.0,92.15,92.95,95.8,829,11-FEB-2020
SHIVATEX,EQ,94.05,96.9,90.1,95.8,90.1,94.6,1463,10-FEB-2020
