SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SHREDIGCEM,EQ,24.8,26.0,24.15,24.6,24.6,24.75,336099,20-MAR-2020
SHREDIGCEM,EQ,24.65,25.95,22.95,24.75,24.75,25.05,360646,19-MAR-2020
SHREDIGCEM,EQ,27.45,27.45,25.0,25.05,25.5,26.45,492559,18-MAR-2020
SHREDIGCEM,EQ,27.3,28.5,26.2,26.45,26.2,27.6,229817,17-MAR-2020
SHREDIGCEM,EQ,27.4,29.0,26.15,27.6,27.6,27.7,391979,16-MAR-2020
SHREDIGCEM,EQ,26.0,29.5,22.25,27.7,28.4,27.5,842827,13-MAR-2020
SHREDIGCEM,EQ,28.65,28.9,27.0,27.5,28.0,30.35,1541019,12-MAR-2020
SHREDIGCEM,EQ,30.75,31.55,30.1,30.35,30.3,30.8,240714,11-MAR-2020
SHREDIGCEM,EQ,30.3,31.65,30.0,30.8,30.95,31.5,718752,09-MAR-2020
SHREDIGCEM,EQ,29.65,31.9,28.3,31.5,31.3,31.05,529406,06-MAR-2020
SHREDIGCEM,EQ,31.9,31.95,30.8,31.05,30.95,31.3,195563,05-MAR-2020
SHREDIGCEM,EQ,31.65,32.0,29.8,31.3,31.45,31.2,648425,04-MAR-2020
SHREDIGCEM,EQ,30.15,31.7,30.05,31.2,31.1,29.95,594497,03-MAR-2020
SHREDIGCEM,EQ,30.75,31.7,29.6,29.95,30.0,30.05,518745,02-MAR-2020
SHREDIGCEM,EQ,30.4,30.7,29.3,30.05,30.0,31.5,805810,28-FEB-2020
SHREDIGCEM,EQ,31.35,31.9,30.25,31.5,31.4,31.1,389302,27-FEB-2020
SHREDIGCEM,EQ,31.45,32.45,30.75,31.1,31.15,31.25,1056806,26-FEB-2020
SHREDIGCEM,EQ,32.3,32.75,30.75,31.25,31.85,31.6,711766,25-FEB-2020
SHREDIGCEM,EQ,30.4,33.9,29.6,31.6,32.0,30.0,1682459,24-FEB-2020
SHREDIGCEM,EQ,27.5,30.5,27.45,30.0,30.05,27.5,1241660,20-FEB-2020
SHREDIGCEM,EQ,26.55,27.8,26.55,27.5,27.45,26.4,377678,19-FEB-2020
SHREDIGCEM,EQ,26.65,26.95,25.8,26.4,26.25,26.75,263225,18-FEB-2020
SHREDIGCEM,EQ,27.75,27.9,26.5,26.75,26.5,27.75,215800,17-FEB-2020
SHREDIGCEM,EQ,26.55,28.7,26.3,27.75,27.5,26.85,639712,14-FEB-2020
SHREDIGCEM,EQ,27.3,28.0,26.75,26.85,26.75,27.75,303297,13-FEB-2020
SHREDIGCEM,EQ,28.95,29.1,27.5,27.75,27.95,28.9,362853,12-FEB-2020
SHREDIGCEM,EQ,29.3,29.6,28.7,28.9,28.8,28.95,251859,11-FEB-2020
SHREDIGCEM,EQ,29.5,30.15,28.5,28.95,29.1,29.1,819415,10-FEB-2020
