SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SHREEPUSHK,EQ,75.95,75.95,70.4,72.4,72.2,73.1,45104,20-MAR-2020
SHREEPUSHK,EQ,72.0,76.95,68.05,73.1,70.0,72.95,51521,19-MAR-2020
SHREEPUSHK,EQ,78.0,78.0,72.3,72.95,73.2,74.75,34834,18-MAR-2020
SHREEPUSHK,EQ,75.6,79.65,73.6,74.75,75.0,78.25,34238,17-MAR-2020
SHREEPUSHK,EQ,84.0,84.0,74.95,78.25,77.65,81.55,49352,16-MAR-2020
SHREEPUSHK,EQ,79.0,85.8,75.0,81.55,81.9,83.75,118253,13-MAR-2020
SHREEPUSHK,EQ,90.1,92.1,80.6,83.75,84.9,95.6,69538,12-MAR-2020
SHREEPUSHK,EQ,88.0,98.85,88.0,95.6,96.0,93.6,39451,11-MAR-2020
SHREEPUSHK,EQ,101.0,101.0,92.0,93.6,94.75,101.25,35883,09-MAR-2020
SHREEPUSHK,EQ,98.0,103.4,97.2,101.25,103.4,104.35,30315,06-MAR-2020
SHREEPUSHK,EQ,103.3,108.0,102.5,104.35,104.9,103.3,37946,05-MAR-2020
SHREEPUSHK,EQ,105.05,109.0,100.65,103.3,102.7,105.5,50999,04-MAR-2020
SHREEPUSHK,EQ,106.0,113.75,104.65,105.5,104.9,108.45,51427,03-MAR-2020
SHREEPUSHK,EQ,113.0,120.05,104.0,108.45,107.4,110.65,34114,02-MAR-2020
SHREEPUSHK,EQ,121.4,122.0,109.4,110.65,113.2,124.15,74664,28-FEB-2020
SHREEPUSHK,EQ,129.5,130.05,123.0,124.15,124.05,127.15,22325,27-FEB-2020
SHREEPUSHK,EQ,123.0,134.5,123.0,127.15,127.0,124.05,89527,26-FEB-2020
SHREEPUSHK,EQ,130.9,131.65,122.8,124.05,124.0,129.7,54882,25-FEB-2020
SHREEPUSHK,EQ,131.0,139.7,128.0,129.7,129.2,132.6,98148,24-FEB-2020
SHREEPUSHK,EQ,119.9,143.45,119.05,132.6,131.5,119.55,259740,20-FEB-2020
SHREEPUSHK,EQ,117.9,120.75,113.15,119.55,118.75,114.5,46452,19-FEB-2020
SHREEPUSHK,EQ,117.3,121.8,112.85,114.5,114.8,117.4,54807,18-FEB-2020
SHREEPUSHK,EQ,114.0,119.0,111.45,117.4,116.9,112.6,62865,17-FEB-2020
SHREEPUSHK,EQ,113.0,114.85,111.0,112.6,111.75,112.3,22481,14-FEB-2020
SHREEPUSHK,EQ,116.45,116.45,111.0,112.3,111.7,111.3,8863,13-FEB-2020
SHREEPUSHK,EQ,113.05,115.0,110.0,111.3,112.0,115.25,12093,12-FEB-2020
SHREEPUSHK,EQ,114.9,117.0,111.45,115.25,115.5,113.75,47023,11-FEB-2020
SHREEPUSHK,EQ,106.85,116.65,105.75,113.75,113.5,105.85,97666,10-FEB-2020
