SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SIL,BE,9.5,9.9,9.05,9.85,9.9,9.5,14667,20-MAR-2020
SIL,BE,9.0,9.5,9.0,9.5,9.5,9.05,1885,19-MAR-2020
SIL,BE,9.05,9.1,9.05,9.05,9.05,9.25,1545,18-MAR-2020
SIL,BE,9.4,9.8,9.2,9.25,9.25,9.35,4501,17-MAR-2020
SIL,BE,10.0,10.0,9.35,9.35,9.4,9.8,8799,16-MAR-2020
SIL,BE,9.6,10.0,9.6,9.8,9.8,9.6,10106,13-MAR-2020
SIL,BE,9.8,10.25,9.35,9.6,9.6,9.8,25082,12-MAR-2020
SIL,BE,10.5,10.5,9.75,9.8,9.75,10.1,1614,11-MAR-2020
SIL,BE,10.0,10.3,10.0,10.1,10.1,10.45,2039,09-MAR-2020
SIL,BE,11.2,11.2,10.2,10.45,10.4,10.7,1912,06-MAR-2020
SIL,BE,10.7,10.7,10.7,10.7,10.7,10.2,1478,05-MAR-2020
SIL,BE,10.2,10.2,10.2,10.2,10.2,10.4,348,04-MAR-2020
SIL,BE,10.4,10.5,10.4,10.4,10.4,10.4,869,03-MAR-2020
SIL,BE,10.4,10.4,10.4,10.4,10.4,10.75,301,02-MAR-2020
SIL,BE,11.2,11.2,10.65,10.75,10.65,11.2,7453,28-FEB-2020
SIL,BE,11.2,11.2,11.2,11.2,11.2,11.3,792,27-FEB-2020
SIL,BE,11.3,11.3,11.3,11.3,11.3,11.35,951,26-FEB-2020
SIL,BE,11.35,11.35,11.35,11.35,11.35,11.75,180,25-FEB-2020
SIL,BE,11.85,11.85,11.75,11.75,11.75,11.55,5002,24-FEB-2020
SIL,BE,11.05,11.55,11.0,11.55,11.55,11.05,1068,20-FEB-2020
SIL,BE,11.0,11.55,11.0,11.05,11.05,11.0,1253,19-FEB-2020
SIL,BE,10.85,11.0,10.85,11.0,11.0,11.2,102,18-FEB-2020
SIL,BE,11.05,11.95,11.05,11.2,11.2,11.55,288,17-FEB-2020
SIL,BE,11.9,11.9,11.55,11.55,11.55,11.5,1013,14-FEB-2020
SIL,BE,11.8,11.85,11.4,11.5,11.5,12.0,3966,13-FEB-2020
SIL,BE,11.6,12.6,11.55,12.0,12.0,12.05,558,12-FEB-2020
SIL,BE,11.0,12.05,11.0,12.05,12.0,11.5,21333,11-FEB-2020
SIL,BE,12.2,12.2,11.1,11.5,11.5,11.65,1060,10-FEB-2020
