SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SILINV,EQ,88.6,93.65,86.5,90.0,89.0,88.05,20963,20-MAR-2020
SILINV,EQ,85.05,97.0,81.5,88.05,88.0,87.4,4151,19-MAR-2020
SILINV,EQ,101.95,102.0,86.0,87.4,89.75,95.05,3048,18-MAR-2020
SILINV,EQ,97.95,105.05,92.7,95.05,92.7,96.05,2397,17-MAR-2020
SILINV,EQ,110.0,110.0,91.1,96.05,97.9,104.4,2141,16-MAR-2020
SILINV,EQ,81.05,112.3,81.05,104.4,101.1,101.3,3368,13-MAR-2020
SILINV,EQ,112.0,112.0,99.95,101.3,100.0,113.8,5854,12-MAR-2020
SILINV,EQ,126.0,126.0,112.1,113.8,113.9,114.2,1089,11-MAR-2020
SILINV,EQ,116.0,118.0,110.1,114.2,113.25,120.05,1918,09-MAR-2020
SILINV,EQ,117.55,127.15,117.55,120.05,119.6,123.65,3037,06-MAR-2020
SILINV,EQ,121.05,129.95,121.05,123.65,123.5,125.85,6751,05-MAR-2020
SILINV,EQ,134.05,134.05,125.5,125.85,125.55,129.4,2808,04-MAR-2020
SILINV,EQ,129.45,133.95,129.0,129.4,129.2,129.45,413,03-MAR-2020
SILINV,EQ,132.0,136.8,127.0,129.45,127.0,130.25,1624,02-MAR-2020
SILINV,EQ,134.95,134.95,125.0,130.25,127.0,135.55,8760,28-FEB-2020
SILINV,EQ,147.0,147.0,134.0,135.55,135.3,137.55,5396,27-FEB-2020
SILINV,EQ,139.0,139.0,134.75,137.55,136.95,137.9,530,26-FEB-2020
SILINV,EQ,139.6,139.95,136.5,137.9,138.4,138.15,600,25-FEB-2020
SILINV,EQ,142.75,142.75,136.0,138.15,139.7,136.85,1088,24-FEB-2020
SILINV,EQ,136.25,144.85,136.0,136.85,136.2,137.45,967,20-FEB-2020
SILINV,EQ,140.0,140.95,132.6,137.45,136.35,140.1,3863,19-FEB-2020
SILINV,EQ,131.1,143.7,131.05,140.1,143.7,136.75,340,18-FEB-2020
SILINV,EQ,147.2,149.95,131.6,136.75,135.8,137.6,1470,17-FEB-2020
SILINV,EQ,144.75,147.2,136.0,137.6,136.0,140.9,2017,14-FEB-2020
SILINV,EQ,144.05,144.85,140.2,140.9,143.7,145.3,2400,13-FEB-2020
SILINV,EQ,158.0,158.95,144.1,145.3,145.3,149.25,4129,12-FEB-2020
SILINV,EQ,151.25,153.5,149.25,149.25,149.25,151.1,1472,11-FEB-2020
SILINV,EQ,159.9,159.9,149.0,151.1,149.0,155.35,1190,10-FEB-2020
