SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SIMBHALS,EQ,3.9,4.1,3.9,4.1,4.1,3.95,2771,20-MAR-2020
SIMBHALS,EQ,4.0,4.15,3.95,3.95,3.95,4.15,6708,19-MAR-2020
SIMBHALS,EQ,4.35,4.55,4.15,4.15,4.15,4.35,16203,18-MAR-2020
SIMBHALS,EQ,4.35,4.55,4.35,4.35,4.35,4.55,10895,17-MAR-2020
SIMBHALS,EQ,4.55,4.95,4.55,4.55,4.55,4.75,23321,16-MAR-2020
SIMBHALS,EQ,4.75,5.15,4.75,4.75,4.9,4.95,29563,13-MAR-2020
SIMBHALS,EQ,5.2,5.25,4.95,4.95,4.95,5.2,10994,12-MAR-2020
SIMBHALS,EQ,4.9,5.25,4.8,5.2,5.25,5.0,10327,11-MAR-2020
SIMBHALS,EQ,5.25,5.45,5.0,5.0,5.0,5.25,16022,09-MAR-2020
SIMBHALS,EQ,5.25,5.65,5.2,5.25,5.2,5.45,36483,06-MAR-2020
SIMBHALS,EQ,5.45,5.5,5.4,5.45,5.45,5.25,2430,05-MAR-2020
SIMBHALS,EQ,5.35,5.45,5.25,5.25,5.25,5.5,18856,04-MAR-2020
SIMBHALS,EQ,5.8,5.8,5.5,5.5,5.5,5.75,8631,03-MAR-2020
SIMBHALS,EQ,5.95,5.95,5.65,5.75,5.75,5.7,25945,02-MAR-2020
SIMBHALS,EQ,5.65,6.0,5.65,5.7,5.7,5.9,15422,28-FEB-2020
SIMBHALS,EQ,6.0,6.1,5.9,5.9,5.9,6.2,16093,27-FEB-2020
SIMBHALS,EQ,6.2,6.6,6.15,6.2,6.3,6.3,9814,26-FEB-2020
SIMBHALS,EQ,6.2,6.65,6.2,6.3,6.55,6.4,4564,25-FEB-2020
SIMBHALS,EQ,6.3,6.5,6.3,6.4,6.45,6.55,2180,24-FEB-2020
SIMBHALS,EQ,6.8,6.8,6.35,6.55,6.6,6.65,6714,20-FEB-2020
SIMBHALS,EQ,6.7,6.7,6.25,6.65,6.65,6.5,10655,19-FEB-2020
SIMBHALS,EQ,6.6,6.75,6.45,6.5,6.6,6.75,9485,18-FEB-2020
SIMBHALS,EQ,6.8,6.95,6.6,6.75,6.7,6.85,7791,17-FEB-2020
SIMBHALS,EQ,7.1,7.1,6.75,6.85,6.8,7.1,14778,14-FEB-2020
SIMBHALS,EQ,6.95,7.2,6.8,7.1,7.1,6.95,10399,13-FEB-2020
SIMBHALS,EQ,7.3,7.3,6.85,6.95,6.9,7.1,7366,12-FEB-2020
SIMBHALS,EQ,7.25,7.55,7.05,7.1,7.1,7.4,4310,11-FEB-2020
SIMBHALS,EQ,7.25,7.7,7.25,7.4,7.3,7.5,5937,10-FEB-2020
