SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SIMPLEXINF,EQ,25.95,25.95,25.95,25.95,25.95,27.3,22135,20-MAR-2020
SIMPLEXINF,EQ,27.3,27.3,27.3,27.3,27.3,28.7,13454,19-MAR-2020
SIMPLEXINF,EQ,28.7,28.7,28.7,28.7,28.7,30.2,14407,18-MAR-2020
SIMPLEXINF,EQ,30.2,30.2,30.2,30.2,30.2,31.75,19843,17-MAR-2020
SIMPLEXINF,EQ,31.75,31.75,31.75,31.75,31.75,33.4,20713,16-MAR-2020
SIMPLEXINF,EQ,33.4,33.4,33.4,33.4,33.4,35.15,22352,13-MAR-2020
SIMPLEXINF,EQ,35.15,35.15,35.15,35.15,35.15,36.95,6785,12-MAR-2020
SIMPLEXINF,EQ,36.95,36.95,36.95,36.95,36.95,38.85,23762,11-MAR-2020
SIMPLEXINF,EQ,38.85,38.85,38.85,38.85,38.85,40.85,12508,09-MAR-2020
SIMPLEXINF,EQ,40.85,40.85,40.85,40.85,40.85,43.0,16405,06-MAR-2020
SIMPLEXINF,EQ,43.0,43.0,43.0,43.0,43.0,45.25,30583,05-MAR-2020
SIMPLEXINF,EQ,45.25,45.25,45.25,45.25,45.25,47.6,18537,04-MAR-2020
SIMPLEXINF,EQ,47.6,47.6,47.6,47.6,47.6,50.1,31467,03-MAR-2020
SIMPLEXINF,EQ,50.1,50.1,50.1,50.1,50.1,52.7,62987,02-MAR-2020
SIMPLEXINF,EQ,52.7,52.7,52.7,52.7,52.7,55.45,23153,28-FEB-2020
SIMPLEXINF,EQ,59.0,59.0,55.45,55.45,55.45,58.35,295662,27-FEB-2020
SIMPLEXINF,EQ,55.0,58.85,55.0,58.35,58.35,56.05,1015528,26-FEB-2020
SIMPLEXINF,EQ,57.9,58.75,53.8,56.05,56.2,56.6,950371,25-FEB-2020
SIMPLEXINF,EQ,56.6,56.6,54.0,56.6,56.6,53.95,1180097,24-FEB-2020
SIMPLEXINF,EQ,53.95,53.95,53.95,53.95,53.95,51.4,119808,20-FEB-2020
SIMPLEXINF,EQ,50.05,51.65,47.6,51.4,51.4,49.2,739851,19-FEB-2020
SIMPLEXINF,EQ,46.35,51.15,46.35,49.2,49.5,48.75,1232765,18-FEB-2020
SIMPLEXINF,EQ,48.75,52.95,48.75,48.75,48.75,51.3,1355162,17-FEB-2020
SIMPLEXINF,EQ,51.3,51.3,51.3,51.3,51.3,54.0,211034,14-FEB-2020
SIMPLEXINF,EQ,54.0,54.0,54.0,54.0,54.0,56.8,40506,13-FEB-2020
SIMPLEXINF,EQ,61.0,61.0,56.8,56.8,56.8,59.75,1086215,12-FEB-2020
SIMPLEXINF,EQ,59.75,59.75,59.75,59.75,59.75,56.95,442913,11-FEB-2020
SIMPLEXINF,EQ,56.95,56.95,56.95,56.95,56.95,54.25,696241,10-FEB-2020
