SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SKSTEXTILE,SM,32.0,34.0,32.0,34.0,34.0,33.65,6000,20-MAR-2020
SKSTEXTILE,SM,33.65,36.0,33.65,33.65,33.65,35.4,5000,18-MAR-2020
SKSTEXTILE,SM,35.4,35.4,35.4,35.4,35.4,37.25,4000,17-MAR-2020
SKSTEXTILE,SM,37.25,37.25,37.25,37.25,37.25,39.2,1000,13-MAR-2020
SKSTEXTILE,SM,39.2,39.2,39.2,39.2,39.2,41.25,2000,12-MAR-2020
SKSTEXTILE,SM,41.25,41.25,41.25,41.25,41.25,43.4,4000,06-MAR-2020
SKSTEXTILE,SM,43.4,43.4,43.4,43.4,43.4,45.65,1000,03-MAR-2020
SKSTEXTILE,SM,45.65,45.65,45.65,45.65,45.65,48.05,1000,28-FEB-2020
SKSTEXTILE,SM,45.0,48.05,45.0,48.05,48.05,46.95,4000,27-FEB-2020
SKSTEXTILE,SM,45.0,48.9,45.0,46.95,48.9,47.1,3000,26-FEB-2020
SKSTEXTILE,SM,46.95,47.1,46.9,47.1,47.1,46.95,85000,18-FEB-2020
SKSTEXTILE,SM,46.95,46.95,46.95,46.95,46.95,45.0,4000,17-FEB-2020
SKSTEXTILE,SM,46.0,46.0,45.0,45.0,45.0,44.35,2000,14-FEB-2020
SKSTEXTILE,SM,43.0,45.1,43.0,44.35,45.1,43.0,4000,13-FEB-2020
SKSTEXTILE,SM,44.35,44.35,43.0,43.0,43.0,44.9,2000,12-FEB-2020
SKSTEXTILE,SM,41.25,44.9,41.25,44.9,44.9,42.95,111000,11-FEB-2020
SKSTEXTILE,SM,42.95,42.95,42.95,42.95,42.95,42.45,1000,10-FEB-2020
