SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SMSLIFE,EQ,180.0,199.0,175.05,191.6,191.4,180.3,3432,20-MAR-2020
SMSLIFE,EQ,186.05,189.95,173.0,180.3,184.0,198.3,3238,19-MAR-2020
SMSLIFE,EQ,218.0,235.7,187.95,198.3,190.0,216.2,3314,18-MAR-2020
SMSLIFE,EQ,221.85,247.0,206.65,216.2,215.0,213.2,2149,17-MAR-2020
SMSLIFE,EQ,201.25,224.95,194.5,213.2,222.0,217.55,2597,16-MAR-2020
SMSLIFE,EQ,176.05,231.0,164.0,217.55,213.1,197.6,3640,13-MAR-2020
SMSLIFE,EQ,221.95,240.05,191.0,197.6,199.0,230.4,6094,12-MAR-2020
SMSLIFE,EQ,235.0,238.85,230.0,230.4,230.0,230.65,1727,11-MAR-2020
SMSLIFE,EQ,249.9,252.0,221.0,230.65,228.05,245.75,3566,09-MAR-2020
SMSLIFE,EQ,256.55,256.55,238.0,245.75,252.0,256.55,153857,06-MAR-2020
SMSLIFE,EQ,248.0,262.0,248.0,256.55,253.0,247.2,5875,05-MAR-2020
SMSLIFE,EQ,235.75,254.0,233.0,247.2,254.0,235.75,2740,04-MAR-2020
SMSLIFE,EQ,252.95,252.95,230.0,235.75,230.05,248.65,1728,03-MAR-2020
SMSLIFE,EQ,249.0,257.8,232.1,248.65,242.05,229.7,8864,02-MAR-2020
SMSLIFE,EQ,228.25,231.95,217.0,229.7,231.95,230.2,6076,28-FEB-2020
SMSLIFE,EQ,240.0,240.0,222.05,230.2,230.1,237.75,3267,27-FEB-2020
SMSLIFE,EQ,251.0,251.0,227.2,237.75,230.8,247.95,2858,26-FEB-2020
SMSLIFE,EQ,246.7,255.95,246.7,247.95,247.0,254.15,1335,25-FEB-2020
SMSLIFE,EQ,258.0,259.45,235.95,254.15,255.85,254.15,2470,24-FEB-2020
SMSLIFE,EQ,253.2,261.0,250.05,254.15,254.1,259.3,3688,20-FEB-2020
SMSLIFE,EQ,245.0,260.0,245.0,259.3,255.0,247.95,5332,19-FEB-2020
SMSLIFE,EQ,252.5,267.2,241.4,247.95,254.0,252.1,3571,18-FEB-2020
SMSLIFE,EQ,270.0,270.0,251.5,252.1,252.1,285.55,19045,17-FEB-2020
SMSLIFE,EQ,287.9,290.0,281.9,285.55,282.8,287.9,2601,14-FEB-2020
SMSLIFE,EQ,288.8,303.5,281.15,287.9,285.05,283.65,5762,13-FEB-2020
SMSLIFE,EQ,283.0,290.0,281.1,283.65,286.0,281.1,3916,12-FEB-2020
SMSLIFE,EQ,274.0,290.0,266.5,281.1,278.2,272.25,3681,11-FEB-2020
SMSLIFE,EQ,273.8,273.8,269.05,272.25,272.75,270.6,1981,10-FEB-2020
