SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SMSPHARMA,EQ,30.6,30.6,27.45,29.0,29.0,28.2,40838,20-MAR-2020
SMSPHARMA,EQ,28.15,29.9,25.5,28.2,27.5,30.2,71385,19-MAR-2020
SMSPHARMA,EQ,32.0,32.0,30.0,30.2,30.0,30.7,29924,18-MAR-2020
SMSPHARMA,EQ,31.7,32.5,29.5,30.7,30.1,30.65,69067,17-MAR-2020
SMSPHARMA,EQ,30.55,35.5,27.75,30.65,31.45,30.55,113467,16-MAR-2020
SMSPHARMA,EQ,25.5,32.2,24.0,30.55,30.0,29.65,84814,13-MAR-2020
SMSPHARMA,EQ,34.0,37.8,29.0,29.65,30.0,34.5,150806,12-MAR-2020
SMSPHARMA,EQ,37.5,38.45,33.8,34.5,34.45,37.15,50219,11-MAR-2020
SMSPHARMA,EQ,38.65,41.5,34.5,37.15,36.35,37.55,221837,09-MAR-2020
SMSPHARMA,BL,36.25,36.25,36.25,36.25,36.25,94.6,2760000,06-MAR-2020
SMSPHARMA,EQ,37.6,38.15,35.5,37.55,37.3,38.3,1055699,06-MAR-2020
SMSPHARMA,EQ,38.9,38.9,37.85,38.3,38.5,37.55,34344,05-MAR-2020
SMSPHARMA,EQ,38.3,38.7,37.25,37.55,37.7,36.75,61806,04-MAR-2020
SMSPHARMA,EQ,37.05,37.05,36.25,36.75,36.9,36.0,9552,03-MAR-2020
SMSPHARMA,EQ,36.2,37.05,35.6,36.0,36.5,35.7,32546,02-MAR-2020
SMSPHARMA,EQ,36.65,36.95,35.2,35.7,36.2,37.05,29362,28-FEB-2020
SMSPHARMA,EQ,37.95,38.4,36.4,37.05,37.2,37.7,12914,27-FEB-2020
SMSPHARMA,EQ,36.95,38.0,36.75,37.7,37.95,37.0,17633,26-FEB-2020
SMSPHARMA,EQ,39.35,39.35,36.3,37.0,36.8,37.85,30285,25-FEB-2020
SMSPHARMA,EQ,40.75,40.75,37.55,37.85,38.35,39.85,40085,24-FEB-2020
SMSPHARMA,EQ,40.15,41.25,39.75,39.85,39.8,40.0,19016,20-FEB-2020
SMSPHARMA,EQ,42.55,42.9,39.35,40.0,39.55,41.0,60691,19-FEB-2020
SMSPHARMA,EQ,39.9,41.85,38.4,41.0,41.7,40.15,44077,18-FEB-2020
SMSPHARMA,EQ,40.75,43.7,39.0,40.15,40.6,40.05,30895,17-FEB-2020
SMSPHARMA,EQ,41.25,42.45,39.55,40.05,40.5,40.6,45237,14-FEB-2020
SMSPHARMA,EQ,41.65,41.7,38.65,40.6,40.55,42.1,35946,13-FEB-2020
SMSPHARMA,EQ,43.4,43.5,41.6,42.1,42.15,43.95,7652,12-FEB-2020
SMSPHARMA,EQ,43.95,44.5,43.2,43.95,43.3,44.0,8183,11-FEB-2020
SMSPHARMA,EQ,44.3,44.6,42.5,44.0,44.0,43.4,19857,10-FEB-2020
