SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SMVD,SM,6.5,6.75,6.5,6.75,6.75,7.55,4000,19-MAR-2020
SMVD,SM,7.5,7.55,7.5,7.55,7.55,7.0,4000,17-MAR-2020
SMVD,SM,7.0,7.0,7.0,7.0,7.0,7.0,2000,13-MAR-2020
SMVD,SM,7.0,7.0,7.0,7.0,7.0,7.7,2000,12-MAR-2020
SMVD,SM,7.7,7.7,7.7,7.7,7.7,8.0,2000,09-MAR-2020
SMVD,SM,8.0,8.0,8.0,8.0,8.0,7.9,2000,06-MAR-2020
SMVD,SM,7.0,8.15,7.0,7.9,7.9,6.8,20000,02-MAR-2020
SMVD,SM,7.0,7.0,6.8,6.8,6.8,7.2,22000,28-FEB-2020
SMVD,SM,7.7,7.7,7.2,7.2,7.2,8.0,4000,27-FEB-2020
SMVD,SM,8.0,8.0,8.0,8.0,8.0,8.0,2000,25-FEB-2020
SMVD,SM,8.2,8.2,8.0,8.0,8.0,8.5,10000,20-FEB-2020
SMVD,SM,8.5,8.5,8.5,8.5,8.5,8.45,2000,18-FEB-2020
SMVD,SM,8.45,8.45,8.45,8.45,8.45,8.25,6000,17-FEB-2020
SMVD,SM,8.2,8.25,8.2,8.25,8.25,8.55,4000,13-FEB-2020
SMVD,SM,8.55,8.55,8.55,8.55,8.55,8.5,2000,10-FEB-2020
