SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SONATSOFTW,EQ,187.1,197.7,175.0,181.75,180.0,187.15,258680,20-MAR-2020
SONATSOFTW,EQ,199.95,200.0,184.05,187.15,186.9,204.2,197257,19-MAR-2020
SONATSOFTW,EQ,225.0,230.7,201.0,204.2,205.0,224.3,175083,18-MAR-2020
SONATSOFTW,EQ,234.0,238.05,222.8,224.3,224.1,228.45,122723,17-MAR-2020
SONATSOFTW,EQ,240.0,254.95,226.0,228.45,230.0,248.5,164927,16-MAR-2020
SONATSOFTW,EQ,231.0,270.95,209.5,248.5,255.85,261.85,163179,13-MAR-2020
SONATSOFTW,EQ,281.0,285.0,249.25,261.85,260.0,294.45,199122,12-MAR-2020
SONATSOFTW,EQ,311.5,312.0,291.5,294.45,292.85,311.15,195407,11-MAR-2020
SONATSOFTW,EQ,318.4,320.0,295.05,311.15,311.0,326.85,133050,09-MAR-2020
SONATSOFTW,EQ,325.0,327.5,310.0,326.85,326.0,339.7,105967,06-MAR-2020
SONATSOFTW,EQ,343.0,343.0,335.0,339.7,340.0,337.55,117156,05-MAR-2020
SONATSOFTW,EQ,343.0,343.0,335.0,337.55,340.0,341.3,119878,04-MAR-2020
SONATSOFTW,EQ,335.4,342.5,335.4,341.3,341.5,333.4,193695,03-MAR-2020
SONATSOFTW,EQ,336.65,343.25,330.0,333.4,333.05,334.95,122651,02-MAR-2020
SONATSOFTW,EQ,343.0,343.0,330.6,334.95,334.0,344.65,140630,28-FEB-2020
SONATSOFTW,EQ,346.9,354.95,340.15,344.65,346.95,342.95,122890,27-FEB-2020
SONATSOFTW,EQ,336.0,349.9,330.1,342.95,343.3,336.25,450303,26-FEB-2020
SONATSOFTW,EQ,340.0,342.0,334.35,336.25,336.0,335.95,81864,25-FEB-2020
SONATSOFTW,EQ,338.0,343.0,331.5,335.95,334.05,339.45,76360,24-FEB-2020
SONATSOFTW,EQ,332.75,343.0,325.0,339.45,340.05,333.65,130691,20-FEB-2020
SONATSOFTW,EQ,340.95,341.8,331.6,333.65,332.75,336.8,80570,19-FEB-2020
SONATSOFTW,EQ,336.0,340.65,332.1,336.8,338.3,338.25,103216,18-FEB-2020
SONATSOFTW,EQ,336.0,343.65,333.65,338.25,337.15,335.95,104782,17-FEB-2020
SONATSOFTW,EQ,335.0,340.9,335.0,335.95,335.3,337.05,47090,14-FEB-2020
SONATSOFTW,EQ,343.0,343.2,336.5,337.05,336.65,342.15,37409,13-FEB-2020
SONATSOFTW,EQ,334.2,343.0,333.05,342.15,342.8,335.2,111194,12-FEB-2020
SONATSOFTW,EQ,342.2,347.9,332.55,335.2,336.5,342.2,146932,11-FEB-2020
SONATSOFTW,EQ,344.8,348.0,340.05,342.2,343.25,344.8,38193,10-FEB-2020
