SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SOTL,EQ,667.0,667.0,601.05,618.4,620.0,611.95,615,20-MAR-2020
SOTL,EQ,610.0,657.95,559.0,611.95,610.0,658.25,770,19-MAR-2020
SOTL,EQ,725.15,725.15,602.6,658.25,602.6,725.15,1423,18-MAR-2020
SOTL,EQ,759.0,759.0,693.0,725.15,750.0,709.85,828,17-MAR-2020
SOTL,EQ,745.1,782.3,704.0,709.85,710.0,752.2,551,16-MAR-2020
SOTL,EQ,700.0,789.0,690.0,752.2,746.0,714.0,930,13-MAR-2020
SOTL,EQ,741.0,755.0,701.0,714.0,714.55,755.9,1195,12-MAR-2020
SOTL,EQ,779.0,779.0,745.0,755.9,766.0,746.0,479,11-MAR-2020
SOTL,EQ,790.0,790.0,740.0,746.0,757.0,753.15,1405,09-MAR-2020
SOTL,EQ,750.0,770.0,742.0,753.15,770.0,770.4,187,06-MAR-2020
SOTL,EQ,759.6,780.0,759.6,770.4,770.0,759.55,382,05-MAR-2020
SOTL,EQ,770.2,771.0,750.0,759.55,751.1,765.5,620,04-MAR-2020
SOTL,EQ,779.95,799.95,760.0,765.5,768.5,772.35,586,03-MAR-2020
SOTL,EQ,793.3,815.0,768.0,772.35,768.0,793.35,572,02-MAR-2020
SOTL,EQ,805.6,809.0,775.0,793.35,800.0,805.6,333,28-FEB-2020
SOTL,EQ,802.0,810.0,773.6,805.6,807.0,802.35,314,27-FEB-2020
SOTL,EQ,797.15,818.75,797.1,802.35,802.0,811.8,204,26-FEB-2020
SOTL,EQ,800.95,824.9,794.95,811.8,821.9,807.15,512,25-FEB-2020
SOTL,EQ,805.05,809.9,783.6,807.15,809.0,809.55,1191,24-FEB-2020
SOTL,EQ,815.0,834.0,806.1,809.55,819.0,808.85,795,20-FEB-2020
SOTL,EQ,807.5,822.0,803.0,808.85,813.95,802.6,771,19-FEB-2020
SOTL,EQ,832.0,832.05,792.8,802.6,819.9,831.55,1559,18-FEB-2020
SOTL,EQ,837.7,848.95,816.55,831.55,824.8,847.65,524,17-FEB-2020
SOTL,EQ,853.0,860.0,841.0,847.65,852.4,843.5,316,14-FEB-2020
SOTL,EQ,826.0,847.95,826.0,843.5,845.9,838.05,570,13-FEB-2020
SOTL,EQ,850.0,850.0,834.5,838.05,835.1,840.9,264,12-FEB-2020
SOTL,EQ,845.0,850.0,828.05,840.9,840.0,835.15,710,11-FEB-2020
SOTL,EQ,854.0,854.0,825.5,835.15,832.0,838.3,712,10-FEB-2020
