SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SPCENET,EQ,0.9,0.9,0.85,0.85,0.85,0.85,304,20-MAR-2020
SPCENET,EQ,0.8,0.9,0.8,0.85,0.85,0.85,24999,19-MAR-2020
SPCENET,EQ,0.8,0.85,0.8,0.85,0.85,0.8,1429,18-MAR-2020
SPCENET,EQ,0.8,0.8,0.8,0.8,0.8,0.75,8278,17-MAR-2020
SPCENET,EQ,0.75,0.75,0.75,0.75,0.75,0.75,9741,16-MAR-2020
SPCENET,EQ,0.75,0.75,0.75,0.75,0.75,0.8,14084,13-MAR-2020
SPCENET,EQ,0.85,0.85,0.8,0.8,0.8,0.85,18517,12-MAR-2020
SPCENET,EQ,0.85,0.85,0.85,0.85,0.85,0.85,1510,11-MAR-2020
SPCENET,EQ,0.85,0.9,0.85,0.85,0.85,0.85,2482,09-MAR-2020
SPCENET,EQ,0.85,0.85,0.85,0.85,0.85,0.9,2723,06-MAR-2020
SPCENET,EQ,0.85,0.9,0.85,0.9,0.9,0.9,600,05-MAR-2020
SPCENET,EQ,0.85,0.9,0.85,0.9,0.9,0.85,1054,04-MAR-2020
SPCENET,BE,0.85,0.85,0.85,0.85,0.85,0.85,23400,03-MAR-2020
SPCENET,BE,0.85,0.85,0.85,0.85,0.85,0.85,500,02-MAR-2020
SPCENET,BE,0.85,0.85,0.85,0.85,0.85,0.9,2000,28-FEB-2020
SPCENET,BE,0.85,0.9,0.85,0.9,0.9,0.85,2712,27-FEB-2020
SPCENET,BE,0.85,0.85,0.85,0.85,0.85,0.8,583,26-FEB-2020
SPCENET,BE,0.8,0.8,0.8,0.8,0.8,0.85,1573,25-FEB-2020
SPCENET,BE,0.85,0.85,0.85,0.85,0.85,0.9,500,24-FEB-2020
SPCENET,BE,0.85,0.9,0.85,0.9,0.9,0.85,553,20-FEB-2020
SPCENET,BE,0.85,0.85,0.85,0.85,0.85,0.85,9368,19-FEB-2020
SPCENET,BE,0.85,0.85,0.85,0.85,0.85,0.85,502,18-FEB-2020
SPCENET,BE,0.85,0.85,0.85,0.85,0.85,0.85,1000,14-FEB-2020
SPCENET,BE,0.8,0.85,0.8,0.85,0.85,0.85,1400,13-FEB-2020
SPCENET,BE,0.85,0.85,0.85,0.85,0.85,0.9,200,12-FEB-2020
SPCENET,BE,0.9,0.9,0.9,0.9,0.9,0.9,800,11-FEB-2020
SPCENET,BE,0.9,0.9,0.9,0.9,0.9,0.95,2520,10-FEB-2020
