SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SPICEJET,EQ,34.5,35.75,32.65,35.5,35.3,34.05,3805015,20-MAR-2020
SPICEJET,EQ,34.05,38.0,34.05,34.05,34.05,37.8,7269272,19-MAR-2020
SPICEJET,EQ,42.5,42.5,37.8,37.8,37.8,42.0,2178612,18-MAR-2020
SPICEJET,EQ,41.35,44.95,39.8,42.0,42.1,42.6,7090350,17-MAR-2020
SPICEJET,EQ,41.7,43.4,39.4,42.6,42.7,43.75,4303458,16-MAR-2020
SPICEJET,EQ,43.75,48.0,43.75,43.75,43.75,48.6,8831114,13-MAR-2020
SPICEJET,EQ,53.0,54.8,48.3,48.6,48.3,60.35,7489044,12-MAR-2020
SPICEJET,EQ,64.0,65.85,60.0,60.35,61.4,63.7,2004620,11-MAR-2020
SPICEJET,EQ,62.5,66.95,59.55,63.7,63.0,63.2,8977028,09-MAR-2020
SPICEJET,EQ,65.0,66.45,59.5,63.2,63.0,69.5,5952388,06-MAR-2020
SPICEJET,EQ,70.2,72.1,69.0,69.5,69.55,70.9,7988889,05-MAR-2020
SPICEJET,EQ,74.0,74.0,68.3,70.9,70.75,74.35,4323070,04-MAR-2020
SPICEJET,EQ,77.0,78.65,73.0,74.35,74.4,75.8,2895405,03-MAR-2020
SPICEJET,EQ,85.45,86.3,73.5,75.8,75.7,83.35,2093237,02-MAR-2020
SPICEJET,EQ,85.9,85.9,82.05,83.35,83.95,87.45,1890672,28-FEB-2020
SPICEJET,EQ,88.8,89.05,86.8,87.45,87.5,89.05,1313453,27-FEB-2020
SPICEJET,EQ,86.85,90.2,86.2,89.05,89.8,87.7,2130052,26-FEB-2020
SPICEJET,EQ,87.3,89.3,86.75,87.7,87.6,86.6,1862591,25-FEB-2020
SPICEJET,EQ,90.0,92.2,85.95,86.6,86.5,92.85,2388487,24-FEB-2020
SPICEJET,EQ,87.8,94.2,86.55,92.85,92.7,87.7,6435604,20-FEB-2020
SPICEJET,EQ,84.25,89.7,83.6,87.7,87.8,84.05,3149122,19-FEB-2020
SPICEJET,EQ,86.5,86.7,82.6,84.05,83.65,86.45,1339142,18-FEB-2020
SPICEJET,EQ,89.3,89.3,85.1,86.45,87.05,89.15,2644118,17-FEB-2020
SPICEJET,EQ,85.0,93.4,81.6,89.15,88.0,84.7,14348580,14-FEB-2020
SPICEJET,EQ,88.0,88.15,83.6,84.7,85.0,87.95,2421225,13-FEB-2020
SPICEJET,EQ,90.6,90.9,87.6,87.95,87.95,90.6,1395593,12-FEB-2020
SPICEJET,EQ,90.9,91.25,90.25,90.6,90.3,90.8,566708,11-FEB-2020
SPICEJET,EQ,91.75,91.9,90.55,90.8,90.85,91.6,466504,10-FEB-2020
