SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SREINFRA,EQ,5.2,5.2,4.35,4.8,4.85,4.8,688200,20-MAR-2020
SREINFRA,EQ,4.45,4.95,4.05,4.8,4.8,4.9,951225,19-MAR-2020
SREINFRA,EQ,5.45,5.45,4.85,4.9,4.95,5.15,924901,18-MAR-2020
SREINFRA,EQ,5.45,5.45,5.0,5.15,5.15,5.15,613479,17-MAR-2020
SREINFRA,EQ,5.35,5.4,5.0,5.15,5.2,5.3,596259,16-MAR-2020
SREINFRA,EQ,4.95,5.95,4.25,5.3,5.35,5.2,1476379,13-MAR-2020
SREINFRA,EQ,5.3,5.85,5.1,5.2,5.2,6.1,1481867,12-MAR-2020
SREINFRA,EQ,5.8,6.3,5.7,6.1,6.05,5.7,608395,11-MAR-2020
SREINFRA,EQ,6.25,6.25,5.6,5.7,5.65,6.25,1278758,09-MAR-2020
SREINFRA,EQ,6.5,7.1,5.8,6.25,6.25,7.2,1863221,06-MAR-2020
SREINFRA,EQ,7.0,7.45,6.75,7.2,7.2,6.9,686592,05-MAR-2020
SREINFRA,EQ,7.5,7.5,6.75,6.9,6.95,7.4,593593,04-MAR-2020
SREINFRA,EQ,7.65,7.75,7.15,7.4,7.45,7.65,1136645,03-MAR-2020
SREINFRA,EQ,7.9,8.2,7.5,7.65,7.55,7.85,532273,02-MAR-2020
SREINFRA,EQ,8.0,8.1,7.7,7.85,7.9,8.0,452841,28-FEB-2020
SREINFRA,EQ,8.2,8.2,7.8,8.0,8.1,8.0,326547,27-FEB-2020
SREINFRA,EQ,8.0,8.15,7.7,8.0,8.0,8.15,370758,26-FEB-2020
SREINFRA,EQ,8.4,8.4,8.0,8.15,8.1,8.1,374541,25-FEB-2020
SREINFRA,EQ,8.5,8.6,8.1,8.1,8.2,8.5,387064,24-FEB-2020
SREINFRA,NZ,900.0,900.0,865.0,865.0,865.0,890.0,69,24-FEB-2020
SREINFRA,Y1,939.9,939.9,893.02,900.0,900.0,923.99,126,24-FEB-2020
SREINFRA,Y2,1150.0,1150.0,1150.0,1150.0,1150.0,1190.0,8,24-FEB-2020
SREINFRA,Y8,852.94,852.95,852.94,852.94,852.95,850.9,64,24-FEB-2020
SREINFRA,EQ,8.0,8.75,8.0,8.5,8.45,8.0,677387,20-FEB-2020
SREINFRA,NZ,861.0,890.0,861.0,890.0,890.0,939.0,37,20-FEB-2020
SREINFRA,Y1,892.01,923.99,892.0,923.99,923.99,892.01,149,20-FEB-2020
SREINFRA,Y2,1150.0,1190.0,1150.0,1190.0,1190.0,1150.0,50,20-FEB-2020
SREINFRA,Y8,849.9,850.9,837.5,850.9,850.9,841.0,402,20-FEB-2020
SREINFRA,Y9,870.0,870.0,850.0,851.37,850.0,870.0,565,20-FEB-2020
SREINFRA,YK,800.0,825.8,800.0,825.8,825.8,800.0,75,20-FEB-2020
SREINFRA,EQ,8.3,8.45,7.95,8.0,8.0,8.1,444992,19-FEB-2020
SREINFRA,Y1,941.99,941.99,892.01,892.01,892.01,939.0,660,19-FEB-2020
SREINFRA,Y8,836.01,841.0,836.01,841.0,841.0,841.59,79,19-FEB-2020
SREINFRA,Y9,870.0,870.0,870.0,870.0,870.0,870.0,55,19-FEB-2020
SREINFRA,YA,1050.0,1050.0,1050.0,1050.0,1050.0,1092.49,10,19-FEB-2020
SREINFRA,YG,921.0,921.0,921.0,921.0,921.0,921.0,50,19-FEB-2020
SREINFRA,EQ,8.45,8.5,8.0,8.1,8.15,8.5,579672,18-FEB-2020
SREINFRA,NZ,939.0,939.0,939.0,939.0,939.0,880.0,1,18-FEB-2020
SREINFRA,Y1,930.0,940.0,930.0,939.0,939.0,840.06,120,18-FEB-2020
SREINFRA,Y2,1150.0,1150.0,1150.0,1150.0,1150.0,1106.0,50,18-FEB-2020
SREINFRA,Y8,845.01,846.0,841.0,841.59,841.0,841.0,191,18-FEB-2020
