SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SRIPIPES,EQ,158.0,161.0,139.7,144.05,141.55,151.35,373703,20-MAR-2020
SRIPIPES,EQ,145.0,176.6,136.9,151.35,152.0,149.7,453369,19-MAR-2020
SRIPIPES,EQ,156.6,169.0,145.0,149.7,150.5,155.7,222714,18-MAR-2020
SRIPIPES,EQ,155.0,163.0,151.85,155.7,153.0,155.15,161439,17-MAR-2020
SRIPIPES,EQ,167.9,167.9,152.0,155.15,152.0,170.95,212884,16-MAR-2020
SRIPIPES,EQ,140.0,177.0,123.0,170.95,172.0,153.4,242652,13-MAR-2020
SRIPIPES,EQ,160.2,166.95,147.5,153.4,153.0,173.15,139232,12-MAR-2020
SRIPIPES,EQ,171.2,176.05,166.65,173.15,173.0,171.15,60904,11-MAR-2020
SRIPIPES,EQ,180.0,181.65,165.95,171.15,171.95,184.95,145920,09-MAR-2020
SRIPIPES,EQ,187.0,187.4,182.3,184.95,185.5,195.4,114537,06-MAR-2020
SRIPIPES,EQ,193.0,197.55,192.35,195.4,195.0,190.7,60078,05-MAR-2020
SRIPIPES,EQ,194.8,199.5,186.55,190.7,190.6,193.7,202791,04-MAR-2020
SRIPIPES,EQ,192.8,201.0,190.25,193.7,195.0,196.45,201290,03-MAR-2020
SRIPIPES,EQ,204.0,210.0,193.0,196.45,195.0,199.75,78189,02-MAR-2020
SRIPIPES,EQ,212.0,214.0,197.3,199.75,200.9,219.15,163130,28-FEB-2020
SRIPIPES,EQ,219.6,222.7,218.5,219.15,220.0,222.75,61166,27-FEB-2020
SRIPIPES,EQ,218.0,230.65,218.0,222.75,223.0,221.8,237690,26-FEB-2020
SRIPIPES,EQ,222.5,223.8,217.5,221.8,221.5,220.75,65227,25-FEB-2020
SRIPIPES,EQ,225.4,226.0,219.05,220.75,220.0,229.2,78751,24-FEB-2020
SRIPIPES,EQ,223.4,232.25,223.4,229.2,229.4,225.65,136901,20-FEB-2020
SRIPIPES,EQ,220.25,226.9,220.25,225.65,224.5,218.95,123545,19-FEB-2020
SRIPIPES,EQ,223.9,224.85,214.0,218.95,219.1,225.65,146375,18-FEB-2020
SRIPIPES,EQ,230.55,234.0,224.05,225.65,225.0,224.0,405762,17-FEB-2020
SRIPIPES,EQ,220.0,226.0,219.0,224.0,224.5,219.1,239470,14-FEB-2020
SRIPIPES,EQ,219.0,222.75,218.2,219.1,219.0,219.4,96313,13-FEB-2020
SRIPIPES,EQ,223.0,225.0,218.15,219.4,219.0,223.05,149719,12-FEB-2020
SRIPIPES,EQ,216.35,228.9,216.1,223.05,223.75,214.6,427943,11-FEB-2020
SRIPIPES,EQ,218.7,221.0,213.35,214.6,213.7,218.25,126958,10-FEB-2020
