SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SUBEX,EQ,3.85,3.85,3.6,3.65,3.7,3.65,2531629,20-MAR-2020
SUBEX,EQ,4.0,4.0,3.25,3.65,3.65,4.0,3009654,19-MAR-2020
SUBEX,EQ,4.65,4.65,3.8,4.0,4.15,4.45,1691615,18-MAR-2020
SUBEX,EQ,4.7,4.85,4.35,4.45,4.5,4.65,2613120,17-MAR-2020
SUBEX,EQ,4.85,5.25,4.4,4.65,4.65,4.85,1410513,16-MAR-2020
SUBEX,EQ,4.5,5.3,4.0,4.85,4.8,4.55,2467755,13-MAR-2020
SUBEX,EQ,5.4,5.4,4.5,4.55,4.6,5.4,2874534,12-MAR-2020
SUBEX,EQ,5.65,5.65,5.25,5.4,5.5,5.55,616988,11-MAR-2020
SUBEX,EQ,5.55,5.75,5.45,5.55,5.55,5.6,2494864,09-MAR-2020
SUBEX,EQ,5.6,5.7,5.15,5.6,5.6,5.65,1363812,06-MAR-2020
SUBEX,EQ,5.7,5.8,5.55,5.65,5.7,5.7,420145,05-MAR-2020
SUBEX,EQ,5.8,5.85,5.65,5.7,5.65,5.75,494430,04-MAR-2020
SUBEX,EQ,5.75,6.0,5.5,5.75,5.8,5.8,522538,03-MAR-2020
SUBEX,EQ,6.05,6.4,5.75,5.8,5.75,6.0,585670,02-MAR-2020
SUBEX,EQ,6.1,6.25,5.9,6.0,5.95,6.35,773282,28-FEB-2020
SUBEX,EQ,6.3,6.5,6.0,6.35,6.35,6.3,619835,27-FEB-2020
SUBEX,EQ,6.4,6.6,6.05,6.3,6.3,6.45,714997,26-FEB-2020
SUBEX,EQ,6.75,7.0,6.4,6.45,6.5,6.75,1385411,25-FEB-2020
SUBEX,EQ,6.95,7.3,6.65,6.75,6.7,6.95,1779854,24-FEB-2020
SUBEX,EQ,6.8,7.35,6.2,6.95,7.0,6.6,6530142,20-FEB-2020
SUBEX,EQ,6.6,7.1,6.4,6.6,6.7,6.55,1906231,19-FEB-2020
SUBEX,EQ,5.6,6.7,5.5,6.55,6.7,5.6,7145447,18-FEB-2020
SUBEX,EQ,5.6,5.65,5.4,5.6,5.65,5.4,3395666,17-FEB-2020
SUBEX,EQ,5.45,5.55,5.1,5.4,5.35,5.45,4584629,14-FEB-2020
SUBEX,EQ,5.5,5.7,5.4,5.45,5.4,5.55,2112294,13-FEB-2020
SUBEX,EQ,5.75,5.8,5.5,5.55,5.5,5.65,1659470,12-FEB-2020
SUBEX,EQ,5.8,5.9,5.65,5.65,5.7,5.6,492635,11-FEB-2020
SUBEX,EQ,5.7,5.85,5.6,5.6,5.65,5.75,777908,10-FEB-2020
