SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SUZLON,EQ,1.95,1.95,1.85,1.9,1.95,1.9,14341279,20-MAR-2020
SUZLON,EQ,1.95,1.95,1.9,1.9,1.95,2.0,14475986,19-MAR-2020
SUZLON,EQ,2.05,2.1,1.95,2.0,2.0,2.05,19912541,18-MAR-2020
SUZLON,EQ,2.05,2.1,2.0,2.05,2.0,2.0,14349098,17-MAR-2020
SUZLON,EQ,2.1,2.15,2.0,2.0,2.05,2.1,15704198,16-MAR-2020
SUZLON,EQ,2.1,2.15,2.1,2.1,2.1,2.2,19582030,13-MAR-2020
SUZLON,EQ,2.25,2.25,2.2,2.2,2.2,2.3,6034846,12-MAR-2020
SUZLON,EQ,2.2,2.3,2.2,2.3,2.25,2.2,15845617,11-MAR-2020
SUZLON,EQ,2.35,2.35,2.2,2.2,2.2,2.4,23559069,09-MAR-2020
SUZLON,EQ,2.4,2.45,2.35,2.4,2.4,2.5,9482371,06-MAR-2020
SUZLON,EQ,2.55,2.55,2.35,2.5,2.55,2.55,14368672,05-MAR-2020
SUZLON,EQ,2.8,2.8,2.5,2.55,2.55,2.75,13261173,04-MAR-2020
SUZLON,EQ,2.9,2.9,2.7,2.75,2.8,2.85,10186884,03-MAR-2020
SUZLON,EQ,2.95,2.95,2.8,2.85,2.9,2.7,20892304,02-MAR-2020
SUZLON,EQ,2.7,2.8,2.55,2.7,2.75,2.8,19788045,28-FEB-2020
SUZLON,EQ,2.8,2.85,2.65,2.8,2.85,2.8,13145960,27-FEB-2020
SUZLON,EQ,2.9,3.0,2.7,2.8,2.8,2.85,22030147,26-FEB-2020
SUZLON,EQ,2.9,2.9,2.45,2.85,2.85,2.65,82503219,25-FEB-2020
SUZLON,EQ,2.65,2.65,2.55,2.65,2.65,2.45,18793348,24-FEB-2020
SUZLON,EQ,2.45,2.45,2.45,2.45,2.45,2.25,5000288,20-FEB-2020
SUZLON,EQ,2.3,2.35,2.2,2.25,2.25,2.25,7438068,19-FEB-2020
SUZLON,EQ,2.3,2.3,2.2,2.25,2.25,2.3,8833504,18-FEB-2020
SUZLON,EQ,2.4,2.4,2.25,2.3,2.3,2.3,7360424,17-FEB-2020
SUZLON,EQ,2.35,2.5,2.25,2.3,2.3,2.3,10651017,14-FEB-2020
SUZLON,EQ,2.3,2.35,2.2,2.3,2.35,2.4,18452130,13-FEB-2020
SUZLON,EQ,2.9,2.9,2.4,2.4,2.4,2.65,53179695,12-FEB-2020
SUZLON,EQ,2.55,2.65,2.5,2.65,2.65,2.45,7748047,11-FEB-2020
SUZLON,EQ,2.25,2.45,2.25,2.45,2.45,2.25,11393276,10-FEB-2020
