SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
SYNDIBANK,EQ,14.0,16.0,13.55,15.15,15.2,14.65,4486879,19-MAR-2020
SYNDIBANK,EQ,15.65,15.65,14.1,14.65,14.65,15.15,3323792,18-MAR-2020
SYNDIBANK,EQ,15.3,16.15,15.05,15.15,15.25,15.3,4067822,17-MAR-2020
SYNDIBANK,EQ,16.0,16.0,15.0,15.3,15.4,16.7,2492006,16-MAR-2020
SYNDIBANK,EQ,13.9,17.0,12.55,16.7,16.75,15.3,3999368,13-MAR-2020
SYNDIBANK,EQ,17.7,17.7,15.1,15.3,15.3,18.1,3578805,12-MAR-2020
SYNDIBANK,EQ,18.9,19.35,17.95,18.1,18.15,18.9,4354398,11-MAR-2020
SYNDIBANK,EQ,19.8,20.0,18.65,18.9,18.85,20.3,7911214,09-MAR-2020
SYNDIBANK,EQ,20.75,20.85,19.75,20.3,20.35,21.0,7286202,06-MAR-2020
SYNDIBANK,EQ,19.1,21.85,19.0,21.0,21.0,19.0,5091953,05-MAR-2020
SYNDIBANK,EQ,19.2,19.9,18.6,19.0,18.9,18.9,3945223,04-MAR-2020
SYNDIBANK,EQ,19.0,19.15,18.65,18.9,19.0,18.5,1467508,03-MAR-2020
SYNDIBANK,EQ,18.6,20.4,18.2,18.5,18.5,18.35,1595855,02-MAR-2020
SYNDIBANK,EQ,19.75,20.3,18.15,18.35,18.4,20.1,1398960,28-FEB-2020
SYNDIBANK,EQ,20.8,20.8,20.05,20.1,20.05,20.8,821142,27-FEB-2020
SYNDIBANK,EQ,21.4,21.4,20.65,20.8,20.8,21.1,493533,26-FEB-2020
SYNDIBANK,EQ,21.55,21.75,21.0,21.1,21.15,21.35,605649,25-FEB-2020
SYNDIBANK,EQ,22.2,22.2,21.2,21.35,21.4,22.25,578758,24-FEB-2020
SYNDIBANK,EQ,22.25,22.6,21.9,22.25,22.2,22.15,669164,20-FEB-2020
SYNDIBANK,EQ,21.95,22.5,21.7,22.15,22.2,21.75,516859,19-FEB-2020
SYNDIBANK,EQ,22.05,22.4,21.3,21.75,21.85,22.5,1206369,18-FEB-2020
SYNDIBANK,EQ,23.35,23.7,22.0,22.5,22.5,23.35,825880,17-FEB-2020
SYNDIBANK,EQ,24.0,24.05,23.25,23.35,23.3,23.8,770268,14-FEB-2020
SYNDIBANK,EQ,24.1,24.1,23.6,23.8,23.7,23.9,653868,13-FEB-2020
SYNDIBANK,EQ,24.9,25.15,23.6,23.9,23.8,24.3,2095966,12-FEB-2020
SYNDIBANK,EQ,24.0,25.7,23.8,24.3,24.05,23.9,5228027,11-FEB-2020
SYNDIBANK,EQ,23.9,24.0,23.6,23.9,23.8,23.9,770628,10-FEB-2020
