SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
TAKE,EQ,42.0,42.0,39.6,40.5,40.5,40.0,97680,20-MAR-2020
TAKE,EQ,44.8,44.8,39.3,40.0,40.0,43.65,146153,19-MAR-2020
TAKE,EQ,49.7,52.0,43.2,43.65,43.5,47.95,156879,18-MAR-2020
TAKE,EQ,53.95,54.2,47.25,47.95,47.35,52.0,148377,17-MAR-2020
TAKE,EQ,51.65,57.25,49.95,52.0,52.0,52.05,146208,16-MAR-2020
TAKE,EQ,51.0,57.5,49.3,52.05,51.65,54.75,201524,13-MAR-2020
TAKE,EQ,57.5,62.4,54.2,54.75,55.0,63.35,175438,12-MAR-2020
TAKE,EQ,67.95,70.05,62.8,63.35,63.45,66.4,122555,11-MAR-2020
TAKE,EQ,73.7,85.1,60.0,66.4,65.85,75.0,230421,09-MAR-2020
TAKE,EQ,74.0,77.95,74.0,75.0,75.35,81.95,156241,06-MAR-2020
TAKE,EQ,83.0,84.9,81.25,81.95,81.8,82.75,80337,05-MAR-2020
TAKE,EQ,83.4,89.8,82.05,82.75,82.7,84.4,67417,04-MAR-2020
TAKE,EQ,87.1,88.7,83.05,84.4,84.05,86.6,104562,03-MAR-2020
TAKE,EQ,88.2,93.0,85.0,86.6,86.0,90.0,77714,02-MAR-2020
TAKE,EQ,92.7,94.5,85.0,90.0,87.95,93.85,136327,28-FEB-2020
TAKE,EQ,96.9,96.9,93.0,93.85,94.5,95.15,47580,27-FEB-2020
TAKE,EQ,98.4,99.0,92.45,95.15,97.1,98.4,140867,26-FEB-2020
TAKE,EQ,99.8,99.8,96.55,98.4,99.0,98.2,80846,25-FEB-2020
TAKE,BL,100.5,100.5,100.5,100.5,100.5,730.0,7300000,24-FEB-2020
TAKE,EQ,98.3,99.85,96.85,98.2,98.85,99.6,101989,24-FEB-2020
TAKE,EQ,99.2,100.5,98.45,99.6,99.5,99.2,48849,20-FEB-2020
TAKE,EQ,99.5,102.45,98.1,99.2,99.2,98.7,220198,19-FEB-2020
TAKE,EQ,99.55,100.8,97.05,98.7,99.4,100.1,132800,18-FEB-2020
TAKE,EQ,107.0,107.0,99.05,100.1,101.75,105.55,282965,17-FEB-2020
TAKE,EQ,99.8,106.8,99.5,105.55,105.4,98.85,683083,14-FEB-2020
TAKE,EQ,95.1,103.7,95.1,98.85,98.6,96.0,1008917,13-FEB-2020
TAKE,EQ,93.0,97.9,92.5,96.0,97.0,94.05,139632,12-FEB-2020
TAKE,EQ,95.0,95.0,93.5,94.05,93.7,94.2,92668,11-FEB-2020
TAKE,EQ,94.0,94.9,92.0,94.2,94.35,93.85,69299,10-FEB-2020
