SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
TALBROAUTO,EQ,77.15,81.6,77.0,77.75,77.0,76.8,17523,20-MAR-2020
TALBROAUTO,EQ,71.55,81.0,70.05,76.8,75.3,78.6,7472,19-MAR-2020
TALBROAUTO,EQ,75.35,84.4,75.35,78.6,78.0,79.45,7470,18-MAR-2020
TALBROAUTO,EQ,87.35,87.4,76.45,79.45,79.0,82.35,14931,17-MAR-2020
TALBROAUTO,EQ,100.9,100.9,78.5,82.35,83.15,88.25,11990,16-MAR-2020
TALBROAUTO,EQ,76.15,103.9,71.1,88.25,90.0,87.75,17790,13-MAR-2020
TALBROAUTO,EQ,99.85,99.85,85.5,87.75,87.9,98.45,22607,12-MAR-2020
TALBROAUTO,EQ,99.15,100.95,95.0,98.45,100.0,95.45,8798,11-MAR-2020
TALBROAUTO,EQ,94.9,111.2,91.5,95.45,97.0,102.0,28207,09-MAR-2020
TALBROAUTO,EQ,100.5,103.8,97.85,102.0,101.25,106.05,9302,06-MAR-2020
TALBROAUTO,EQ,108.9,110.5,104.5,106.05,107.5,107.2,4362,05-MAR-2020
TALBROAUTO,EQ,110.0,112.0,106.0,107.2,106.1,112.15,6278,04-MAR-2020
TALBROAUTO,EQ,106.0,116.65,104.9,112.15,110.7,106.0,16516,03-MAR-2020
TALBROAUTO,EQ,107.4,110.3,106.0,106.0,106.9,107.4,12040,02-MAR-2020
TALBROAUTO,EQ,112.0,114.75,106.6,107.4,107.1,112.2,31876,28-FEB-2020
TALBROAUTO,EQ,113.35,115.9,112.0,112.2,112.1,114.6,4488,27-FEB-2020
TALBROAUTO,EQ,112.05,116.8,112.05,114.6,116.25,114.35,7324,26-FEB-2020
TALBROAUTO,EQ,112.6,118.15,112.6,114.35,116.5,115.9,3547,25-FEB-2020
TALBROAUTO,EQ,115.05,117.0,114.0,115.9,115.25,116.15,7386,24-FEB-2020
TALBROAUTO,EQ,118.3,119.95,116.0,116.15,116.05,118.35,7584,20-FEB-2020
TALBROAUTO,EQ,123.4,123.6,116.55,118.35,117.5,117.65,6904,19-FEB-2020
TALBROAUTO,EQ,118.45,119.65,115.0,117.65,117.25,120.35,11404,18-FEB-2020
TALBROAUTO,EQ,121.0,123.0,118.7,120.35,122.0,122.0,7542,17-FEB-2020
TALBROAUTO,EQ,121.95,128.7,120.1,122.0,122.2,121.95,10479,14-FEB-2020
TALBROAUTO,EQ,123.4,124.9,120.5,121.95,122.05,123.3,2406,13-FEB-2020
TALBROAUTO,EQ,123.05,124.7,121.1,123.3,124.15,123.15,3819,12-FEB-2020
TALBROAUTO,EQ,123.05,127.0,121.6,123.15,124.4,125.3,7275,11-FEB-2020
TALBROAUTO,EQ,125.5,134.4,125.0,125.3,125.0,129.5,9574,10-FEB-2020
