SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
TATAMETALI,EQ,394.85,430.3,387.0,394.6,397.0,394.85,34977,20-MAR-2020
TATAMETALI,EQ,420.2,420.2,370.25,394.85,391.5,422.1,55193,19-MAR-2020
TATAMETALI,EQ,473.0,487.0,408.25,422.1,420.2,473.05,36675,18-MAR-2020
TATAMETALI,EQ,482.0,499.95,460.0,473.05,465.0,495.45,28253,17-MAR-2020
TATAMETALI,EQ,509.9,510.0,461.0,495.45,507.0,512.05,44578,16-MAR-2020
TATAMETALI,EQ,482.0,519.95,429.55,512.05,510.0,536.55,43133,13-MAR-2020
TATAMETALI,EQ,560.0,560.0,501.55,536.55,542.0,579.5,44876,12-MAR-2020
TATAMETALI,EQ,584.0,588.9,563.05,579.5,577.0,578.45,20616,11-MAR-2020
TATAMETALI,EQ,589.9,589.9,568.0,578.45,580.0,587.9,35456,09-MAR-2020
TATAMETALI,EQ,577.25,595.0,560.05,587.9,588.6,595.8,24145,06-MAR-2020
TATAMETALI,EQ,600.0,609.95,591.1,595.8,591.3,599.8,11356,05-MAR-2020
TATAMETALI,EQ,614.0,614.0,591.0,599.8,599.6,605.6,16093,04-MAR-2020
TATAMETALI,EQ,613.0,620.0,595.0,605.6,602.5,595.25,14483,03-MAR-2020
TATAMETALI,EQ,598.0,630.0,586.0,595.25,600.15,600.15,16260,02-MAR-2020
TATAMETALI,EQ,602.3,630.85,597.55,600.15,600.2,632.9,58621,28-FEB-2020
TATAMETALI,EQ,641.0,647.0,596.8,632.9,642.8,641.7,28018,27-FEB-2020
TATAMETALI,EQ,640.0,649.0,627.85,641.7,646.0,640.05,35989,26-FEB-2020
TATAMETALI,EQ,644.1,648.0,632.65,640.05,642.0,641.0,28065,25-FEB-2020
TATAMETALI,EQ,637.0,649.4,621.05,641.0,641.0,636.75,39932,24-FEB-2020
TATAMETALI,EQ,605.35,645.0,600.05,636.75,636.0,605.35,139695,20-FEB-2020
TATAMETALI,EQ,591.0,611.0,585.0,605.35,608.0,590.85,51636,19-FEB-2020
TATAMETALI,EQ,582.75,595.0,570.0,590.85,586.5,587.2,21007,18-FEB-2020
TATAMETALI,EQ,588.0,598.95,580.0,587.2,585.05,594.6,18114,17-FEB-2020
TATAMETALI,EQ,599.85,599.9,590.0,594.6,592.1,597.0,13610,14-FEB-2020
TATAMETALI,EQ,611.95,611.95,593.15,597.0,595.4,606.75,16802,13-FEB-2020
TATAMETALI,EQ,618.0,622.0,602.8,606.75,604.5,602.8,12390,12-FEB-2020
TATAMETALI,EQ,610.0,615.95,596.0,602.8,607.0,609.5,25319,11-FEB-2020
TATAMETALI,EQ,617.4,617.4,603.35,609.5,608.0,614.95,12352,10-FEB-2020
