SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
TECHIN,EQ,2.1,2.1,2.1,2.1,2.1,2.2,1150,19-MAR-2020
TECHIN,EQ,2.2,2.2,2.2,2.2,2.2,2.3,1808,11-MAR-2020
TECHIN,EQ,2.3,2.3,2.3,2.3,2.3,2.4,999,09-MAR-2020
TECHIN,EQ,2.4,2.4,2.4,2.4,2.4,2.4,250,02-MAR-2020
TECHIN,EQ,2.4,2.4,2.4,2.4,2.4,2.5,525,27-FEB-2020
TECHIN,EQ,2.5,2.5,2.5,2.5,2.5,2.4,5654,26-FEB-2020
TECHIN,EQ,2.3,2.4,2.3,2.4,2.4,2.4,649,24-FEB-2020
TECHIN,EQ,2.5,2.5,2.4,2.4,2.4,2.5,2383,20-FEB-2020
TECHIN,EQ,2.5,2.5,2.5,2.5,2.5,2.75,900,19-FEB-2020
TECHIN,EQ,2.75,2.75,2.75,2.75,2.75,2.7,20,18-FEB-2020
TECHIN,EQ,2.7,2.7,2.7,2.7,2.7,2.85,1000,14-FEB-2020
TECHIN,EQ,2.85,2.85,2.85,2.85,2.85,2.85,1007,12-FEB-2020
TECHIN,EQ,2.85,2.85,2.85,2.85,2.85,3.0,1252,11-FEB-2020
TECHIN,EQ,3.0,3.0,3.0,3.0,3.0,3.0,1000,10-FEB-2020
