SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
TGBHOTELS,EQ,2.4,2.4,2.3,2.3,2.3,2.4,19889,20-MAR-2020
TGBHOTELS,EQ,2.5,2.5,2.4,2.4,2.4,2.5,3644,19-MAR-2020
TGBHOTELS,EQ,2.6,2.6,2.5,2.5,2.5,2.6,2883,18-MAR-2020
TGBHOTELS,EQ,2.5,2.6,2.5,2.6,2.6,2.6,5042,17-MAR-2020
TGBHOTELS,EQ,2.6,2.75,2.6,2.6,2.6,2.7,28275,16-MAR-2020
TGBHOTELS,EQ,2.55,2.75,2.55,2.7,2.55,2.65,23343,13-MAR-2020
TGBHOTELS,EQ,2.75,2.85,2.65,2.65,2.65,2.75,11722,12-MAR-2020
TGBHOTELS,EQ,2.75,2.95,2.75,2.75,2.75,2.85,12236,11-MAR-2020
TGBHOTELS,EQ,2.85,3.15,2.85,2.85,2.85,3.0,17034,09-MAR-2020
TGBHOTELS,EQ,2.95,3.05,2.85,3.0,3.0,2.95,9976,06-MAR-2020
TGBHOTELS,EQ,3.0,3.15,2.95,2.95,3.1,3.1,4859,05-MAR-2020
TGBHOTELS,EQ,3.15,3.15,3.1,3.1,3.1,3.25,22143,04-MAR-2020
TGBHOTELS,EQ,3.2,3.25,3.0,3.25,3.25,3.1,6875,03-MAR-2020
TGBHOTELS,EQ,3.2,3.2,3.0,3.1,3.1,3.05,6337,02-MAR-2020
TGBHOTELS,EQ,3.05,3.15,3.05,3.05,3.05,3.2,5716,28-FEB-2020
TGBHOTELS,EQ,3.2,3.4,3.1,3.2,3.2,3.25,27306,27-FEB-2020
TGBHOTELS,EQ,3.2,3.35,3.05,3.25,3.25,3.2,22035,26-FEB-2020
TGBHOTELS,EQ,3.45,3.45,3.15,3.2,3.2,3.3,5536,25-FEB-2020
TGBHOTELS,EQ,3.4,3.4,3.25,3.3,3.3,3.4,3893,24-FEB-2020
TGBHOTELS,EQ,3.4,3.4,3.15,3.4,3.4,3.25,8287,20-FEB-2020
TGBHOTELS,EQ,3.25,3.4,3.15,3.25,3.3,3.25,15942,19-FEB-2020
TGBHOTELS,EQ,3.3,3.4,3.2,3.25,3.25,3.35,5276,18-FEB-2020
TGBHOTELS,EQ,3.15,3.45,3.15,3.35,3.45,3.3,12279,17-FEB-2020
TGBHOTELS,EQ,3.4,3.6,3.3,3.3,3.3,3.45,7182,14-FEB-2020
TGBHOTELS,EQ,3.4,3.5,3.35,3.45,3.4,3.5,9944,13-FEB-2020
TGBHOTELS,EQ,3.55,3.8,3.5,3.5,3.5,3.65,15730,12-FEB-2020
TGBHOTELS,EQ,3.7,3.75,3.65,3.65,3.65,3.8,7380,11-FEB-2020
TGBHOTELS,EQ,3.9,3.9,3.8,3.8,3.8,3.95,12509,10-FEB-2020
